"Layer","Component","File_Path","Input","Output","Logic_Summary","Live_Or_Dead","Model_Or_Provider","Evidence"
"AI Router","PERCEPTION | REASONING | AUTHORITY tier catalog","ct/src/lib/ai-router/escalation-tier-catalog.ts","AiEscalationTier","EscalationModelSpec[] (deepseek-v4-flash-0731, glm-5.3-flash, glm-5v-turbo, deepseek-v4-pro-0813, claude-sonnet-5)","CONFIRMED DEAD CODE - the audit's claim is correct. A mapping-table artifact for R65 Part D Phase 1, whose own header states it deliberately does NOT wire into resolveModel() or any dispatch call site ('Phase 6's job'), and that the perception model is 'NOT currently wired anywhere in this repo'.","DEAD - ZERO importers. Repo-wide grep over ct/src finds only escalation-tier-catalog.test.ts:11 and a descriptive comment at lib/db/schema.ts:10187. No production file imports it.","Names OpenRouter slugs but calls nothing","escalation-tier-catalog.ts:21-23 'deliberately does NOT wire into resolveModel()'; :85 AiEscalationTier; :109 'NOT currently wired anywhere'; :199 getEscalationModelsForTier (uncalled)"
"Escalation","nextEscalationRung / claimEscalation","ct/src/lib/escalation-ladder.ts","EscalationContext {reason, priorRung}","EscalationRung (CSEO -> COO -> Super Boss)","A 3-rung human/role escalation ladder resolved against roster.ts, plus a DB-backed single-claim guard so two monitors cannot both escalate the same task.","LIVE - task-execution-engine.ts:30 and 4 monitors (rule-engine, dispatch-completion, approval-decision, ...). NOT imported by src/lib/pipeline/*","None (role routing)","escalation-ladder.ts:122-126 LADDER; :135 nextEscalationRung; :288 claimEscalation"
"Escalation","floor-tier-escalation.ts","ct/src/lib/floor-tier-escalation.ts","userMessage/replyText + flags","{shouldEscalate, signals[]} and ConfidenceLabel high|medium|low","Word-boundary regex phrase lists, NOT a calibrated score. Its own header: 'Deliberately NOT a calibrated ML confidence score -- no provider call site in this codebase returns one ... fabricating a fake numeric score would be worse than showing none.'","LIVE - task-execution-engine.ts:24, services/chat-service.ts:28, /api/ai/team/dispatch/route.ts:16. NOT imported by src/lib/pipeline/*","None (deterministic regex)","floor-tier-escalation.ts:96 checkPreCallEscalation; :118-127 the header quote; :130-134 deriveConfidenceLabel"
"Confidence","bandConfidence()","ct/src/lib/confidence-banding.ts","0-100 percentage","auto_proceed | self_review_required | peer_review_required | escalation_required","Constitution Guardrail 9 bands: >=98 / >=95 / >=90 / below. Clamps out-of-range toward the SAFER band. Closure-time output signal, explicitly complementary to (not the same as) model-tier eligibility.","LIVE - action-autonomy-decision.ts:19, activity-log-service.ts:26, guardrail-registrations.ts:22, /api/ai/team/dispatch/route.ts:24. NOT the pipeline.","None (pure arithmetic)","confidence-banding.ts:20-38 thresholds 98/95/90"
"Confidence","computeDispatchConfidencePercentage()","ct/src/lib/dispatch-confidence-scoring.ts","{lowConfidenceDetected, knowledgeGapDetected, riskLevel}","0-100 integer","Starts at 100 and subtracts fixed additive penalties (low-confidence 15, knowledge gap 20, risk critical 15/high 8/medium 3). Deliberately not a fitted model, and deliberately never a model self-reported number.","LIVE - /api/ai/team/dispatch/route.ts:23 (its only importer)","None (deterministic)","dispatch-confidence-scoring.ts:26-36"
"Customer-facing routing","resolveModelConfig / resolvePlatformModelConfig","ct/src/lib/orchestra-model-resolver.ts","orgId + layerKey (Orchestra Layers 1-4) + sourceType","ResolvedModelConfig {provider, model, apiKey}","Routes a CUSTOMER org's product AI features by subscription/layer: customer BYO config -> client config -> shared pool -> platform default. A separate axis from both the pipeline and the AI Team roster.","LIVE - mother-router.ts:83, and ~35 service files call resolveModelConfig directly (never migrated)","Multi-provider; PLATFORM_DEFAULT_MODEL_FALLBACK = 'openai/gpt-oss-120b'","orchestra-model-resolver.ts:48 fallback; :483 resolveModelConfig; :611 resolvePlatformModelConfig; mother-router.ts:11-21 on the deliberate non-migration"
"Transport","callLLM / callLLMJson / callLLMVision","ct/src/lib/llm-client.ts","provider, model, apiKey, systemPrompt, userMessage, options","LLMResult / parsed JSON","The one HTTP client for all six providers, with JSON-mode handling, fence stripping, cost estimation, supervision logging and an OpenRouter per-model provider preference (e.g. glm-5.2 pinned to DeepInfra).","LIVE - openrouter.ts:9, team-service.ts:27, mother-router.ts:85, llm-response-cache.ts and dozens of services","groq | openai | anthropic | google | openrouter | cerebras","llm-client.ts:32 LLMProvider union; :346 OPENROUTER_PROVIDER_PREFERENCE; :603 callLLM; :769 callLLMJson"
"Second classifier","prompt-compiler classify() / extractIntent()","ct/src/lib/prompt-compiler/intent-classifier.ts","free text","{category: CODE|ANALYSIS|OPS|QUERY|TASK|GENERAL, score} + primary/secondary/implicit intent","A THIRD classification system, unrelated to the pipeline: a 1:1 TypeScript port of a Python keyword-ratio (60%) + regex-pattern (40%) scorer, defaulting to GENERAL below 0.05. Zero AI calls.","LIVE - reached via lib/prompt-compiler/pipeline.ts runPipeline, imported by /api/prompt-compiler/execute/route.ts:28","None (deterministic)","intent-classifier.ts:13-29 keyword/pattern tables; :42 classify; :114 extractIntent; pipeline.ts:51 runPipeline"
"Second confidence","computeConfidence()","ct/src/lib/prompt-compiler/confidence-engine.ts","ConfidenceInputs","ConfidenceBreakdown","The prompt-compiler's own confidence computation, separate from confidence-banding.ts and dispatch-confidence-scoring.ts.","LIVE - via prompt-compiler/pipeline.ts, reached by /api/prompt-compiler/execute","None (deterministic)","confidence-engine.ts:11 ConfidenceInputs; :54 computeConfidence"
"Caching","callLLMCached / callLLMJsonCached","ct/src/lib/llm-response-cache.ts","(orgId, provider, model, systemPrompt, userMessage, ttlMs)","cached or fresh LLM completion","OPT-IN completion cache, org-scoped (not global, because a completion is not org-safe to share). Content encrypted at rest with pgcrypto/AI_CONFIG_ENCRYPTION_KEY; decrypt failure is treated as a miss. TTL-tuned via CACHE_TTL presets. Never caches an error or a policy-denied response.","LIVE - services/fde-service.ts:18 and /api/ai/orchestrate/route.ts:6 (its only two callers). NOT used by the pipeline.","Wraps llm-client for any provider","llm-response-cache.ts:87 CACHE_TTL; :131 callLLMCached; :166 callLLMJsonCached; :198 purge; live compliance.llm_response_cache = 0 rows"
"Caching","embedding_cache in generateEmbedding()","ct/src/lib/embeddings.ts","text content","{vector, isReal, model}","Embedding-vector cache keyed on a bare CONTENT HASH (globally safe because identical text always embeds identically). Falls back OpenRouter text-embedding-3-small -> Groq nomic-embed-text -> a deterministic hash-pseudo-vector marked isReal:false.","LIVE - assistant-memory-service, memory-service:48, capability-registry-service, knowledge-base-service, instruction-execution-cache-service:29, crr/embed.ts. NOT the pipeline.","openai/text-embedding-3-small (OpenRouter), groq/nomic-embed-text, or hash-pseudo-vector","embeddings.ts:56-61 models; :95-110 embedding_cache read/insert; :465 findSimilar; live embedding_cache=27, embeddings=981"
"Caching","findPriorExecutionPath / recordExecutionPath","ct/src/lib/services/instruction-execution-cache-service.ts","instruction text + orgId","ExecutionPathMatch {capability, score} | null","The only genuine SEMANTIC (pgvector cosine) cache in the codebase: maps instruction text -> the capability/dynamic-chain it previously resolved to, gated at MATCH_THRESHOLD = 0.95.","LIVE - services/fde-service.ts:34 (its only production importer). NOT reachable from src/lib/pipeline/*.","Embeddings via embeddings.ts","instruction-execution-cache-service.ts:37 MATCH_THRESHOLD=0.95; :70 findPriorExecutionPath; :160 recordExecutionPath; live platform.instruction_execution_cache = 0 rows"
"Caching","findSemanticCacheHit()","ct/src/lib/prompt-compiler/prompt-similarity.ts","machinePrompt + orgId (+ threshold 0.95)","PromptVersionMatch | null","Before minting a new prompt_versions row, searches indexed prompt versions by vector similarity and reuses a match >= 0.95. Reuses capability-registry-service's pgvector store rather than a parallel one.","LIVE - prompt-compiler/persist-compiled-prompt.ts:35","Embeddings via capability-registry-service -> embeddings.ts","prompt-similarity.ts:26-33 findSemanticCacheHit; persist-compiled-prompt.ts:35"
"Caching","compileStaticPrefix / computeFingerprint / recordPromptCacheMetric","ct/src/lib/prompt-cache/compiler.ts, fingerprint.ts, metrics.ts, utilization.ts","the final assembled system prompt string","{staticPrefix, fingerprint} + a token_usage_ledger metric row","Provider-side prompt-cache accounting: fingerprints the static prefix so cache hits/misses can be grouped per prefix version, and records cache savings. Does not itself cache anything.","LIVE - services/chat-service.ts:20-21, /api/help/ask/route.ts:20-21, /api/ai/team/cache-utilization/route.ts:3","N/A (accounting for OpenRouter/Anthropic prompt caching)","compiler.ts:21 compileStaticPrefix; metrics.ts:58 logTokenUsage; utilization.ts per-layer/day report"
"Caching (client)","browser-intent-cache.ts","projexa n/a - ct/src/lib/browser-intent-cache.ts","VeriComposer submissions (mode pill + chain path + chat text)","CachedIntent[] ranked by recency-weighted frequency","IndexedDB, client-only, zero AI cost, offline. Recency/frequency/same-mode/pin ranking mirroring chain-usage-ranking.ts. Explicitly NOT same-project/time-of-day.","LIVE in the VERI chat UI - components/veri-chat/VeriComposer.tsx:28, IntentCommandPalette.tsx:26. Not used by PROJEXA's M24Shell.","None","browser-intent-cache.ts:1-25 header; :112 saveIntent; :153 queryIntents; :211 runExpirationSweep"
"RAG","fetchRelevantMemories -> searchMemories","ct/src/lib/services/chat-service.ts + ct/src/lib/services/memory-service.ts","user chat message, orgId, userId","MemorySearchMatch[] injected into the chat system prompt","THE ONLY vector-RAG read on any live request path - and it is the CHAT-REPLY path, not the classifier. Confirms the audit: a grep for every vector primitive across src/lib/pipeline/ returns only two prose comments and zero executable calls.","LIVE for chat (chat-service.ts:827 and :1101). DEAD for classification - no pipeline file imports it.","Embeddings via embeddings.ts; reply model via Orchestra/Mother Router","chat-service.ts:34 import; :733-735 fetchRelevantMemories -> searchMemories; grep of pipeline/ for searchMemories|findSimilar|embedding = run-submission.ts:248,279,280 (comments only)"
"RAG","memory-recall-service tiers","ct/src/lib/services/memory-recall-service.ts","query + options","RecallResult across tiers exact | keyword | vector | graph","A 4-tier recall ladder where only 'exact' is EXECUTABLE_TIER (safe to act on); keyword/vector/graph return proposals. Graph expansion capped at depth 2 / 500 rows.","LIVE as a service module. NOT reachable from src/lib/pipeline/*.","Embeddings via embeddings.ts (findSimilar, generateEmbeddingUncached)","memory-recall-service.ts:97-98 RECALL_TIERS; :105 EXECUTABLE_TIER='exact'; :266-269 graph caps; :89 embeddings import"
"Ledger","logTokenUsage() -> compliance.token_usage_ledger","ct/src/lib/services/token-usage-service.ts","provider, model, tokens, cost, scope, level, task_id, route_id","one ledger row","The AI usage ledger extended by R65 Part D for exactly this pipeline. THE PIPELINE NEVER WRITES TO IT - no file under src/lib/pipeline/ and not tasks/route.ts calls logTokenUsage.","LIVE but only for other subsystems - importers are ai-team/team-service.ts:30, prompt-cache/metrics.ts:9, /api/ai/team/log-usage/route.ts:2","Records whatever provider called","token-usage-service.ts:49 logTokenUsage; grep logTokenUsage over ct/src lists no pipeline file; live token_usage_ledger = 14 rows, all provider='groq', level NULL"
"Telemetry","computeMonthlyBucketDelta / softwareCoverageRatio","ct/src/lib/services/ai-reduction-service.ts","two consecutive ai_reduction_snapshots rows","MonthlyBucketDelta {softwareCoverageRatio: number|null}","The nearest thing to an ERP-vs-AI ratio, but it measures platform.task_capabilities buckets written by task-execution-engine, NOT the pipeline. Needs >=2 snapshots to produce any trend.","LIVE - cron /api/internal/ai-reduction-snapshot/run, vercel.json '0 2 1 * *'","N/A","ai-reduction-service.ts:31 takeAiReductionSnapshot; :87 softwareCoverageRatio; vercel.json:32; live ai_reduction_snapshots=1 row, task_capabilities=1 row"
"Target","95% ERP / <5% AI","(no file)","n/a","n/a","NO constant, config row, enum or comparison encoding 95/5 exists anywhere in ct/src. Every 0.95 hit is an unrelated threshold: fde-service.ts:63 HIGH_CONFIDENCE_THRESHOLD, instruction-execution-cache-service.ts:37 MATCH_THRESHOLD, prompt-similarity.ts:29, agent-review-service.ts:78 PROMOTE_SUCCESS_RATE_AT_LEAST, audit-cadence.ts:48 text.","DEAD / nonexistent - nothing reads l0HitRate after runSubmission returns it, in either repo","N/A","grep -rn '95%|0\.95|<5%|5% AI' over ct/src/lib (non-test): all 15 hits reviewed, none encodes the split"
