"Flow_Id","Persona","Goal","Entry_Point_Route","Steps","Screens_Touched","Data_Created","Preconditions","E2E_Spec_Path"
"F-66","Any authenticated role for read","Use the HR dashboard as the entry point to HR modules","/hr","1. Open /hr ('HR Dashboard') - headcount/leave/payroll aggregates match the underlying data 2. Click 'Employee directory' -> /employees (same pattern for Payroll and Recruitment cards)","/hr, /employees, /payroll, /recruitment","None (read-only)","None beyond login","e2e/hr-employees-payroll.spec.ts"
"F-67","Any authenticated role for read","Review the org's risk and compliance posture","/grc","1. Open /grc ('Risk & Compliance') 2. Dashboard reflects real GRC data (Phase 1 seeded none)","/grc (tabs: Dashboard, Risk Register, Audits & Findings, Policies, Vendor Risk, Fraud & Incidents, Access Review, Compliance Register)","None (read-only)","None beyond login","e2e/grc.spec.ts"
"F-68","PM_OR_ABOVE (owner/admin/pm; /risks)","Log a risk in the risk register","/grc","1. 'Risk Register' tab 2. Click 'Log Risk' -> /grc/risks/new 3. Fill 'Title' 4. 'Save' 5. Lands on /grc/risks/<id>","/grc, /grc/risks/new, /grc/risks/[id]","risk record","None beyond login and the role gate","e2e/grc.spec.ts"
"F-69","ORG_ADMIN (owner/admin; /audit-engagements, /audit-findings)","Plan an audit engagement and record a finding against it","/grc","1. 'Audits & Findings' tab 2. 'Plan Audit' -> /grc/audits/new; fill 'Name'; 'Save' -> returns to /grc?tab=audits 3. 'Record Finding' -> /grc/findings/new","/grc, /grc/audits/new, /grc/findings/new","audit engagement, audit finding","Caller is owner/admin","e2e/grc.spec.ts"
"F-70","ORG_ADMIN (owner/admin; /policies)","Draft a policy and request its publication","/grc","1. 'Policies' tab 2. 'Draft Policy' -> /grc/policies/new; fill 'Title'; 'Save' -> /grc/policies/<id> 3. Click 'Request Publish' -> VERIFIED GAP: a real, reproducible 500 from /api/policies/...","/grc, /grc/policies/new, /grc/policies/[id]","policy draft (publish request fails)","Caller is owner/admin","e2e/grc.spec.ts"
"F-71","ORG_ADMIN (owner/admin; /vendor-risk)","Put a vendor under risk tracking","/grc","1. 'Vendor Risk' tab 2. 'Add Vendor' -> /grc/vendors/new 3. Fill 'Vendor Name' 4. 'Save' -> returns to /grc?tab=vendor-risk","/grc, /grc/vendors/new","vendor-risk record","Caller is owner/admin","e2e/grc.spec.ts"
"F-72","ORG_ADMIN (owner/admin; /fraud-cases)","Log a fraud or incident case","/grc","1. 'Fraud & Incidents' tab 2. 'Log Case' -> /grc/cases/new 3. Fill 'Title' 4. 'Save' -> lands on /grc/cases/<id>","/grc, /grc/cases/new, /grc/cases/[id]","fraud/incident case","Caller is owner/admin","e2e/grc.spec.ts"
"F-73","Any authenticated role for read","Consult the compliance register","/grc","1. 'Compliance Register' tab 2. Use the real search and status filter controls 3. There is deliberately no create/log/add control on this tab","/grc (Compliance Register tab)","None (read-only by design)","None beyond login","e2e/grc.spec.ts"
"F-74","Any authenticated role for read","Launch a copilot tool from the quick-launch page","/copilot","1. Open /copilot 2. Seven real tools are listed, all construction-only 3. Click 'Run' on one","/copilot","Copilot run / query-history row","None beyond login","e2e/copilot-chat.spec.ts"
"F-75","ANY_MEMBER (owner/admin/pm/site_engineer/member; /tasks and /discuss)","Ask the AI copilot a question from anywhere in the app","any (app) route - the composer is docked globally","1. Click the docked textarea (aria-label 'Describe the task') 2. Type the question 3. Press Enter or click the send control (testid composer-send) -> POST /api/tasks {rawInput, mode, projectId, selectedChain} 4. The answer band prints verdict.message ?? verdict.answer.text","Global shell composer on any route; /dashboard, /copilot","task/assistant submission record","None beyond login; the assistant scope is construction-only, so finance/sales/HR data questions are refused rather than answered","e2e/copilot-chat.spec.ts"
"F-76","Any authenticated role for read","Check a copilot query's own status in the history","/copilot?projectId=<id>","1. Open /copilot?projectId= 2. Click 'Run' on the first tool 3. The query-history badge must not contradict that row's own status","/copilot","Copilot query-history row","Project selected","e2e/assistant-status-truthful.spec.ts"
"F-77","FIELD (owner/admin/pm/site_engineer; /schedule/tasks)","Add a task to the project schedule","/schedule/tasks/new","1. Open /schedule/tasks/new ('New Task') 2. The Type control stays disabled while its options load and never shows 'Loading...' as a value; an empty task-type list says so and says what Save will do 3. Fill Title, Type, Priority, Start Date, Duration (days), Due Date, Milestone, Predecessor, BOQ item 4. Save -> POST /api/schedule/tasks","/schedule (tabs: Timeline, Board, Phases, Time), /schedule/tasks/new, /schedule/tasks/[id]","schedule task","Org has task types configured, otherwise the Type control is honestly empty","e2e/schedule-task-type-signage.spec.ts"
"F-78","ANY_MEMBER (owner/admin/pm/site_engineer/member; /timesheets)","Log hours against a task","/schedule/log-time (server-redirects to /design-studio/timesheets/new)","1. /schedule/log-time resolves the project with no network call and redirects to /design-studio/timesheets/new?projectId=&taskId= 2. Pick Task (#new-entry-task), set Date, Hours, Category, Comments 3. Save (primary reads 'Save (2 required: Task, Hours)' while incomplete) -> POST /api/timesheets","/schedule (Time tab), /design-studio (My timesheet), /design-studio/timesheets/new, /design-studio/timesheets/[id]","timesheet entry","The project has schedule tasks (F-77)","NONE (no e2e spec covers this flow)"
"F-79","PM_OR_ABOVE for the decision (/timesheets/review-day); ANY_MEMBER to submit the day (/timesheets/submit-day)","Approve or return a designer's submitted day of hours","/design-studio/review","1. Open the Review tab (loads /api/timesheets?projectId=) 2. Optionally tick 'Submitted days only' 3. Click Approve on a day group -> POST /api/timesheets/review-day {decision: approved} 4. Or open the return box, type a reason, and send -> same endpoint with decision 'rejected' + rejectionReason","/design-studio (tabs: My timesheet, Review, Cost analysis)","timesheet day approval or rejection (with reason)","Caller is pm or above - otherwise the buttons are disabled with 'Only a project manager or above can approve or return hours'","NONE (no e2e spec covers this flow)"
"F-80","FIELD (owner/admin/pm/site_engineer; /site-diary)","Write the daily site diary","/site-diary?projectId=<id>","1. Click the list's New action -> /site-diary/new ('New Site Diary Entry') 2. Fill Date, Weather, Work Done, Labour Count; optionally Visitors, Material Received, Issues, Instructions, Remarks 3. Save -> POST /api/site-diary 4. Lands on /site-diary/<id>","/site-diary, /site-diary/new, /site-diary/[id]","site diary entry","Project selected","NONE (no e2e spec covers this flow)"
"F-81","FIELD (owner/admin/pm/site_engineer; /punch-list)","Raise a snag on the punch list","/punch-list?projectId=<id>","1. New action -> /punch-list/new ('New Punch List Item') 2. Fill Description; optionally Location, Trade; pick Priority (High/Medium/Low) 3. Save -> POST /api/punch-list 4. Lands on /punch-list/<id>","/punch-list, /punch-list/new, /punch-list/[id]","punch list item","Project selected","NONE (no e2e spec covers this flow)"
"F-82","FIELD (owner/admin/pm/site_engineer; /rfis)","Raise an RFI to the design team","/rfis?projectId=<id>","1. New action -> /rfis/new ('New RFI') 2. Fill Subject, Question; optionally Due Date 3. Save -> POST /api/rfis 4. Lands on /rfis/<id>","/rfis, /rfis/new, /rfis/[id]","RFI record","Project selected","NONE (no e2e spec covers this flow)"
"F-83","FIELD (owner/admin/pm/site_engineer; /submittals)","Submit a shop drawing / product data / sample for approval","/submittals?projectId=<id>","1. New action -> /submittals/new ('New Submittal') 2. Fill Title; optionally Spec Section; pick Type (Shop Drawing / Product Data / Sample / Other); optionally Due Date 3. Save -> POST /api/submittals 4. Lands on /submittals/<id>","/submittals, /submittals/new, /submittals/[id]","submittal record","Project selected","NONE (no e2e spec covers this flow)"
"F-84","FIELD (owner/admin/pm/site_engineer; /drawings)","Register a drawing revision","/drawings?projectId=<id>","1. New action -> /drawings/new ('New Drawing', subtitled with the project name) 2. Complete the form (list columns are Name, Drawing No., Rev, Kind, Discipline, Status, Added, File) 3. Save -> lands on /drawings/<id>?projectId=","/drawings, /drawings/new, /drawings/[id]","drawing record + file","Project selected (the screen fetches /api/projects to resolve it)","NONE (no e2e spec covers this flow)"
"F-85","FIELD (owner/admin/pm/site_engineer; /meetings)","Schedule a project meeting","/meetings?projectId=<id>","1. New action -> /meetings/new ('New Meeting') 2. Fill Title, Date & time, Duration (minutes); optionally Agenda items (one per line) and Participant user IDs (comma-separated) 3. Save -> POST /api/meetings 4. Lands on /meetings/<id>","/meetings, /meetings/new, /meetings/[id]","meeting record","Project selected","NONE (no e2e spec covers this flow)"
"F-86","FIELD (owner/admin/pm/site_engineer; /moms); sharing a MoM link is PM_OR_ABOVE","Record and publish minutes of meeting","/moms?projectId=<id>","1. Open /moms (status filter: Any status / Draft / Published) 2. New action -> /moms/new; fill Title, Date & time, Type (Team/Client/Vendor/One-on-one/Other), Attendees, Agenda (one item per line), Minutes 3. Save 4. On /moms/<id> add action items and optionally generate intelligence 5. Create a share link (POST /api/moms/<id>/share-links) for external recipients","/moms, /moms/new, /moms/[id], /shared/mom/[token]","MoM record, action items, share link token","Project selected; share-link creation needs pm or above","NONE (no e2e spec covers this flow)"
"F-87","PM_OR_ABOVE (owner/admin/pm; /change-orders)","Raise a change order (variation)","/change-orders?projectId=<id>","1. New action -> /change-orders/new ('New Change Order') 2. Fill Title; optionally Reason; set Schedule Impact (days) and cost impact 3. Save -> POST /api/change-orders 4. Lands on /change-orders/<id> (list columns: #, Title, Cost Impact, Schedule Impact, Status)","/change-orders, /change-orders/new, /change-orders/[id]","change order record","Project selected","NONE (no e2e spec covers this flow)"
"F-88","PM_OR_ABOVE (owner/admin/pm; /expenses)","Log a project expense","/expenses?projectId=<id>","1. New action -> /expenses/new ('Log Expense') 2. Complete the form 3. Save -> POST /api/expenses 4. Returns to /expenses?projectId=","/expenses, /expenses/new","expense record","Project selected","NONE (no e2e spec covers this flow)"
"F-89","PM_OR_ABOVE (owner/admin/pm; /scope and all /scope/* endpoints)","Build, import, revise and compare the Bill of Quantities","/scope?projectId=<id>","1. 'New BOQ' -> /scope/new ('New Bill of Quantities'); a BOQ needs at least one line 2. Or import: /scope/import ('Import BOQ from Excel', template at /api/scope/import/template) -> POST /api/scope/import 3. From a BOQ row use View / New Revision / Compare -> /scope/[id], /scope/[id]/revise, /scope/[id]/compare 4. Submit and approve via /api/scope/[id]/submit and /approve","/scope, /scope/new, /scope/import, /scope/[id], /scope/[id]/revise, /scope/[id]/compare","BOQ header, BOQ lines, categories, revisions, approval status","Project selected; the Excel import needs a workbook matching the downloadable template","NONE (no e2e spec covers this flow)"
"F-90","Anonymous public visitor","Read the public marketing site before signing up","/","1. Load / (served from the prerendered copy on a warm load) 2. A visitor with a Hindi locale gets the Hindi document at the same URL (div[lang=hi]) 3. /how-it-works renders every section painted at 1440px and 375px with JavaScript disabled and reduced motion; nothing is left at opacity 0; a cold load transfers <= 500 KB","/, /how-it-works, /hi, /hi/how-it-works, /login, /signup","None","Run logged out against a local origin - the spec skips itself unless PLAYWRIGHT_BASE_URL names localhost","e2e/public-pages-perf.spec.ts"
"F-91","PM_OR_ABOVE creates the link (/attendance/summary/share, /work-progress/report/share, /moms/[id]/share-links); the recipient is an anonymous token holder","Share attendance, a work-progress report, or minutes with someone outside the app","/labour, /work-progress, /moms/[id]","1. From the source module create a share link (POST to the module's share endpoint) 2. Send the tokenised URL 3. The recipient opens /share/attendance/<token> ('All recorded attendance'), /share/report/<token> ('Work Progress Report' with Contract Value / Project Value / Budget / Revenue / Expenses / Earned Value), or /shared/mom/<token> - no login required","/share/attendance/[token], /share/report/[token], /shared/mom/[token]","share-link token record","Caller creating the link is pm or above; these token routes are outside the deny-by-default (app) gate","NONE (no e2e spec covers this flow)"
