fault_id,source,route,file_path,screenshot_path,description,severity,category,role_found,required,classification,justification,wf_audit,wf_artifact,wf_fix,wf_test,wf_pr,wf_deployed,wf_live,pr_ref,fix_files,closed,created_at
R81_F23_CONNECTOR_SCOPE_GATE_BYPASSED,R81 D6-04,,"ct/src/lib/services/connector-data-service.ts:117,211",,"THE CONNECTOR SCOPE GATE IS BUILT, TESTED, AND NOT ON THE PRODUCTION PATH. Verified directly by R81, not accepted from a report. ct/src/lib/services/connector-scope-gate-service.ts implements executeGatedConnectorAction, which enforces GOOGLE_CONNECTOR_SCOPE_ALLOW_LIST (composio-connectors.ts:214-235, gmail/googledrive/googlesheets/googledocs mapped to read/edit/write), fails closed for any unlisted toolkit (no_allow_list_recorded), and unconditionally refuses KNOWN_DELETE_CAPABLE_SCOPES. It has a full test suite. IT HAS ZERO PRODUCTION CALL SITES: a search across src finds executeGatedConnectorAction ONLY inside connector-scope-gate-service.test.ts, and getAuthConfigScopes ONLY in its own definition (composio-connectors.ts:367) plus tests. Meanwhile the LIVE read paths import executeAction directly (connector-data-service.ts:38) and call it at :117 (GMAIL_FETCH_EMAILS) and :211 (GOOGLEDRIVE_FIND_FILE), bypassing the gate entirely. So a user's Gmail and Drive can be read through a path that never consults the allow-list, never applies the delete-capable-scope refusal, and never writes the audit record the gate produces. WHAT MAKES THIS WORSE THAN AN UNBUILT CONTROL: the gate's passing tests are a source of FALSE ASSURANCE -- an auditor reading them concludes the control is enforced. LATENT, NOT ACTIVE, and that distinction is recorded honestly: COMPOSIO_API_KEY is unprovisioned (CRR-007, a standing declined purchase, disclosed at composio-connectors.ts:190-196), so no connector call has run live. The exposure begins the moment that key is provisioned. ALSO MISSING, verified by an exhaustive search returning nothing: the PER-USER CONSENT RECORD the owner ruling requires -- no consent_/granted_scopes/scope_grant table or column exists anywhere; connector_accounts stores only status and connectedEmail, so the gate would be evaluated against shared app-level auth_config scopes rather than what any individual user actually granted.

--- SEVERITY CORRECTED Critical -> High, 2026-09-08, on evidence rather than judgement ---
The defect is confirmed exactly as filed: executeGatedConnectorAction (connector-scope-gate-service.ts:109)
has ZERO production callers -- the only occurrence in src/ is its own definition -- while the live read
paths call ungated executeAction at connector-data-service.ts:117 and :211. It has a passing test file,
so it is a security control with green tests and no call sites.
But it is NOT REACHABLE today: COMPOSIO_API_KEY is absent from BOTH repos' .env.local, and
composio-connectors throws when it is unset rather than sending a keyless request
(composio-connectors.test.ts:85 asserts exactly that). An unreachable bypass cannot stop a customer
transacting, so Critical overstated it.
THE TRIGGER IS RECORDED SO THE DOWNGRADE CANNOT BECOME AN EXCUSE: the day COMPOSIO_API_KEY is
provisioned -- a routine purchase, no code change, nothing that announces itself -- this becomes a
live deny-by-default gate that is bypassed. The two-line remediation (route :117 and :211 through the
gate) should therefore land BEFORE that purchase, not after it.",High,Permission,n/a,YES,TECHNICAL,"A security control with green tests and no call sites is worse than an absent one, because the tests are read as proof it is enforced. Filed Critical despite being latent, because the mitigation is an unpaid API key rather than any deliberate control, and provisioning that key is a routine purchase that would silently activate the exposure.",false,false,false,false,false,false,false,,,false,2026-09-08 13:56:57.329573+00
R81_F24_FALSE_TRIGGER_COMMENT_AND_MISSING_MIGRATIONS,R81 D6-04,,ct/src/lib/db/schema.ts:13668 and drizzle/0327:273-280,,"A COMMENT ASSERTS A DATABASE TRIGGER THAT DOES NOT EXIST IN THE REPOSITORY, and three referenced migrations are absent. schema.ts:13668 states that doc_uid immutability is enforced by ""a trigger [that] blocks any UPDATE ... verified live"". An exhaustive search of drizzle/ and supabase/ for CREATE TRIGGER against source_object, or any doc_uid immutability object, returns NOTHING. Separately, drizzle/0327:273-280 names three migrations -- crr041_048_054_p2_schema_foundation, crr_p2_schema_tier3, crr045_tsvector_gin -- as the home of the vector/HNSW/tsvector objects, and NONE of the three is in the repository. So part of the CRR schema exists only as applied database state with no migration file, which is the same class as fault E-103 and as the platform.work_orders debt R81 D1-04 paid. KD-10 class for the comment: an assertion of ""verified live"" that the repository cannot support. NOT RESOLVED HERE, and stated rather than guessed: whether the trigger actually exists in the live database is CANNOT-ESTABLISH-FROM-SOURCE. A query on information_schema.triggers / pg_trigger for compliance.source_object settles it in one statement, and should be run before anyone relies on doc_uid immutability.",Medium,Other,n/a,NO,TECHNICAL,"Two different failure modes in one place: a comment claiming enforcement that source cannot corroborate, and live schema with no migration file. Either alone is recoverable; together they mean nobody can rebuild this schema from the repo or trust its stated guarantees.",false,false,false,false,false,false,false,,,false,2026-09-08 13:56:57.329573+00
R81_F25_GRN_STOCK_ITEM_NESTED_TRANSACTION_500,R81 D6-07(a),/api/procurement/goods-receipts/[id]/submit,ct/src/lib/services/erp-goods-receipt-service.ts submitPurchaseReceipt -> recordStockReceipt,,"POSTING A GOODS RECEIPT FAILS WITH A 500 WHENEVER A LINE ACTUALLY NAMES A STOCK ITEM. Found by driving the real UI end to end, and confirmed three independent ways.
 (1) HTTP: ""Post to Stock"" returned 500, surfaced to PROJEXA as {""error"":""Failed to submit goods receipt"",""code"":""UPSTREAM_500""}.
 (2) SERVER LOG, verbatim: ""v1 projexa procurement goods-receipt submit error: Error: nested withTenantContext: a transaction for org 4ecc472f-4152-4310-ae8d-cf8b7c52ab6d (opened 2026-09-08T14:13:45.202Z) is still open, and org ... tried to open a second one. Pass the open transaction's db handle down instead -- one request must never hold two of the five app_runtime connections (src/lib/db/tenant-scoped.ts).""
 (3) DATABASE STATE, which is the damning part: purchase order klpg9hy8ioodfgwc2blxqyni, item_id NOT NULL, sits at status=draft with received_quantity=0, its receipt stranded at status=draft, and ZERO erp_stock_ledger_entries rows. Nothing was credited, nothing was posted, and the order cannot progress.
CONTRAST, same session, same servers, same flow: a FREE-TEXT line (item_id NULL) reached status=completed with received 5 of 5 and correctly zero stock rows. So the failure is specific to the stock-item path.
MECHANISM: submitPurchaseReceipt already holds a withTenantContext transaction; recordStockReceipt opens a SECOND one for the same org. tenant-scoped.ts's guard detects the nesting and throws. The free-text path never reaches it, because `if (!item.itemId) continue` short-circuits first.
WHY THIS WAS INVISIBLE UNTIL NOW, and it matters: before ct 754cef17 and projexa 19491a5, PROJEXA's PO screens never sent an itemId, so recordStockReceipt was effectively unreachable from PROJEXA. 754cef17 correctly moved the receivedQuantity credit above the guard, and 19491a5 let PO lines carry a stock item -- TOGETHER THEY MADE THIS PATH REACHABLE FOR THE FIRST TIME AND IT DOES NOT WORK. The fix is right in intent; the newly-reachable branch is broken. This is not a regression introduced by those commits, it is a latent defect they exposed.
RELATED: the guard's own message ties this to the max:5 app_runtime pool (see R81_F17 and the concurrent session's standing pool finding) -- the nesting rule exists precisely because one request must not hold two of five connections.
NOT FIXED BY R81: erp-goods-receipt-service.ts is owned by the concurrent R80 session by agreement. Reported to it directly with the log line and the PO id.

[R81 UPDATE 2026-09-08] FIX SHIPPED BY THE CONCURRENT R80 SESSION as compliance-tracker 6b56c00b, and R81 VERIFIED THE FIX IS CORRECT IN SOURCE: recordStockReceipt now takes an optional existingDb handle (erp-inventory-service.ts:73, `return existingDb ? run(existingDb) : withTenantContext(...)`) and submitPurchaseReceipt now PASSES it (erp-goods-receipt-service.ts:175-178, `await recordStockReceipt(ctx, {...}, db)`). Omitting the handle preserves the previous behaviour exactly. That session also fixed an identical twin in erp-returns-service.ts, and disclosed erp-inventory-planning-service.ts as a wider un-fixed instance rather than bundling it.
THE ORIGINAL DEFECT IS CONFIRMED GONE FROM THE LOG: no ""nested withTenantContext"" error has been emitted since the fix was loaded.
BUT THE END-TO-END RE-RUN IS NOT PROVEN, AND THIS ROW STAYS OPEN. Across four attempts the browser run never completed cleanly: 503 UPSTREAM_TIMEOUT twice (PROJEXA aborts an upstream call at 8s), one 404 caused by a corrupted .next build manifest that a mid-write server kill had left behind (cleared by deleting .next; the route file was present and the tree clean at the fix commit throughout), and repeated 15s locator.click timeouts. Free RAM ranged 0.04-0.71 GB with two dev servers, a second Claude session and this one on a 7.82 GB machine. NONE of those failures is attributable to the fix, and NONE of them is evidence FOR it either.
SO THE HONEST STATE IS: originally FAILED with three independent confirmations (HTTP 500, the verbatim nested-transaction log line, and database state showing draft/received 0/receipt stranded/zero ledger rows); fix reviewed and correct in source; NOT YET RE-PROVEN THROUGH THE UI. It must not be closed until a run on a machine with real headroom shows po_status advancing, received_quantity credited, AND at least one erp_stock_ledger_entries row at valuation_rate 211 rather than 0. The spec is committed-adjacent at projexa e2e/r81-d607b-stock-and-cancel.spec.ts and is deliberately left RED.

[R81 K5-01 CLOSED 2026-09-08 -- citation ct afe275c9, test src/lib/services/erp-goods-receipt-nested-transaction.test.ts]
CLOSED ON MY OWN VERIFICATION, NOT ON THE FIXING SESSION'S REPORT.
FIRST, THE CORRECTION THAT MATTERS: commit 6b56c00b, which I previously recorded as ""the fix, verified correct in source"", DID NOT FIX THIS. Threading the open db handle into recordStockReceipt was necessary but NOT SUFFICIENT -- requireErpEnabled() opens its OWN withTenantContext (isErpEnabledForOrg -> isBranchEnabledForOrg) and runs BEFORE the existingDb branch is ever reached, so a caller already inside a transaction still tripped assertNotNested, just at a different line. My reading of the source was right about what the diff did and wrong about whether it was enough. My ""stale dev-server module"" explanation for the post-fix 500 was also wrong: that was a TRUE NEGATIVE. afe275c9 corrects it using isErpEnabledForOrgWithDb, the handle-accepting variant R74 Phase 10 added for exactly this shape, applied to recordStockReceipt, recordStockIssue AND getItemValuation.
MY INDEPENDENT VERIFICATION:
 1. Ran the test myself against the REAL database: 6 pass / 0 fail.
 2. Ran my OWN falsifiability cycle rather than accepting the reported one. First attempt was a NO-OP -- my patch asserted a single occurrence and the pattern appears THREE times, so the file never changed and the resulting ""6 pass"" proved nothing. Caught it, redid it reverting ALL THREE gates to the 6b56c00b shape: 1 pass / 5 FAIL with the verbatim production error, ""submitPurchaseReceipt threw instead of completing: nested withTenantContext: a transaction for org 4ecc472f... is still open, and org 4ecc472f... tried to open a second one.""
 3. Restored BYTE-IDENTICAL to HEAD (sha256 of working file == sha256 of the HEAD blob, CRLF 0): 6 pass / 0 fail again.
 4. Confirmed the test asserts THIS FAULT'S OWN RECORDED CLOSE CONDITION, verbatim and not by paraphrase: status advances past draft (expect(po?.status).not.toBe(""draft""), and one of partially_received/completed); received_quantity credited on BOTH lines; and the load-bearing one -- expect(Number(entry.valuationRate)).toBe(211) with an explicit .not.toBe(0). It also asserts exactly ONE ledger row for TWO received lines, which is the free-text-versus-stock-item split that is the entire substance of the original fix.
A KNOWN LIMITATION, RECORDED SO NOBODY MISREADS CI: this test SKIPS under CI's placeholder database credentials (8 skipped, with a visible reason). It therefore does NOT pass in CI, and CI going green must never be read as evidence for this fix. That is a property of the CI environment, not of the fix. Per ruling R81-RULING-03 as sharpened -- check test OUTCOME, not job conclusion -- a skip is not a pass, and this fault is closed on the LOCAL real-database run plus the falsifiability cycle above, which is stronger evidence than a browser run could give.
WHY NOT ALSO CONFIRMED THROUGH THE BROWSER: the read-back path is itself broken (fault R81_F27 -- the single-PO route 404s on orders that exist and that the list route returns). The service-layer test is the better instrument here, exactly as the fixing session argued.",Critical,Function,owner,YES,TECHNICAL,"A purchase receipt that names a stock item -- the ordinary case for a construction ERP buying materials -- cannot be posted at all, and fails in a way that leaves the order silently stuck in draft with no stock and no credit. It is the exact half of the procure-to-receive chain that the previous fix was believed to have completed.",false,false,true,true,true,false,false,compliance-tracker afe275c9 (test: src/lib/services/erp-goods-receipt-nested-transaction.test.ts),ct/src/lib/services/erp-inventory-service.ts; erp-inventory-planning-service.ts; erp-returns-service.ts; erp-goods-receipt-service.ts,true,2026-09-08 14:15:48.438911+00
R81_F26_NESTING_GUARD_WARNS_IN_PRODUCTION,R81 K1-02,,ct/src/lib/db/tenant-scoped.ts assertNotNested(),,"THE NESTING GUARD THROWS IN DEV AND TEST BUT ONLY WARNS IN PRODUCTION, AND ITS STATED RATIONALE IS CONTRADICTED BY ITS OWN LIST. Verified in source: assertNotNested() reads NODE_ENV per call and `if (env === ""development"" || env === ""test"") throw`, otherwise `console.warn(...)` and THE REQUEST CONTINUES. The documented reason is that ""nesting is a latency/exhaustion bug, not a correctness one: the query results are right, they just cost too much.""
THAT CLAIM IS FALSE FOR AT LEAST ONE ENTRY IN THE GUARD'S OWN KNOWN-NESTING LIST, which says of the goods-receipt site: ""also a correctness problem: the stock ledger commits in a different transaction from the receipt status it is posting for"". So for that path, production leniency does not degrade performance -- it splits an atomic operation. A failure between the two commits leaves stock posted against a receipt that never reached submitted. That is silent data corruption, and it is silent precisely BECAUSE production only warns.
WHAT THIS MEANS IN PRACTICE, and it is the inverse of how it looks: the HTTP 500 R81 hit in dev (fault R81_F25) was the SAFE manifestation. The same code in production would have completed the request, warned into a log nobody reads, and left the ledger and the receipt in separate transactions. The loud failure was the good outcome.
THE LIST IS A SNAPSHOT AND FIVE OF ITS SIX ENTRIES ARE STILL LIVE. Measured this block: erp-returns-service.ts now passes the open handle (fixed by the concurrent session alongside goods-receipt in ct 6b56c00b). STILL NESTING, none passing a handle: erp-inventory-planning-service.ts (recordStockReceipt / recordStockIssue / getItemValuation), erp-invoicing-service.ts and erp-payment-entries-service.ts (isPeriodOpenForDate), construction-valuation-service.ts and erp-contract-service.ts (createSalesInvoice). EVERY ONE IS A FINANCIAL OR INVENTORY PATH. The sixth, orchestra-execution-logger.ts, is fire-and-forget and its own note correctly assesses it as degrading to a skipped log line.
THE GUARD ITSELF SAYS ""This list is a snapshot, not a maintained registry: the guard itself is the live answer."" That is true in dev, where it throws. It is NOT true in production, where the guard answers with a warning and proceeds.
NOT FIXED HERE: these are the concurrent session's files by agreement, and the remedy per site is a judgement about transaction boundaries in money-handling code, not a mechanical edit. Filed with the mechanism so it is not rediscovered a third time -- R43_MGR_01 removed one instance in August and another was still live in September.",Critical,Logic,n/a,YES,TECHNICAL,"Production converts a loud, immediately-diagnosed failure into a silent split of an atomic financial operation, on five live paths, while the guard's own comment asserts correctness is not at stake. The one case that was actually exercised proved otherwise within minutes.",false,false,false,false,false,false,false,,,false,2026-09-08 15:22:30.297829+00
R81_F27_SINGLE_PO_ROUTE_404S_ON_EXISTING_ORDERS,R81 K5-01,/api/procurement/purchase-orders/[id],ct/src/app/api/v1/projexa/procurement/purchase-orders/[id]/route.ts -> erp-buying-service.ts getPurchaseOrder(),,"THE SINGLE-PURCHASE-ORDER ROUTE 404s ON ORDERS THAT EXIST AND THAT THE LIST ROUTE RETURNS TO THE SAME CALLER. Reproduced on four separate purchase orders in one authenticated session.
EVIDENCE, three independent layers:
 (1) DATABASE: all four ids exist in compliance.erp_purchase_orders with org_id 4ecc472f-4152-4310-ae8d-cf8b7c52ab6d -- two draft, two completed.
 (2) LIST ROUTE: GET /api/purchase-orders returns 200 with 55 orders and CONTAINS ALL FOUR IDS.
 (3) SINGLE ROUTE: GET /api/procurement/purchase-orders/<id> returns 404 {""error"":""Not Found""} for ALL FOUR, and DELETE (which is the cancel verb) likewise 404s. PROJEXA request log: upstreamMs 88-126, so compliance-tracker answered FAST with a 404 -- not a timeout, not a cold compile.
THIS IS NOT A TENANT-ISOLATION LEAK, and that was checked before filing rather than assumed. 59 purchase orders exist across 3 orgs; exactly 55 belong to the E2E org; the list returned exactly 55. The list is CORRECTLY scoped. Also ruled out: the apparent org mismatch in the logs (PROJEXA orgId 42d7bac5-ffe1-4e10-a783-deaa90f8ce03 vs the rows' 4ecc472f-...) is NOT a mismatch -- public.veridian_credentials maps 42d7bac5 -> 4ecc472f, so they are the same tenant in two id spaces.
SO THE SINGLE-PO ROUTE IS THE BROKEN ONE. getPurchaseOrder() filters `id = ? AND orgId = ctx.orgId` inside withTenantContext, so a 404 means ctx.orgId did not resolve to 4ecc472f for that call -- while the list route, for the SAME caller in the SAME session, resolved it correctly. Two routes serving the same resource resolve the caller's organisation differently.
IT IS A REGRESSION, not a standing condition: the same route served the same ids successfully earlier today (R81 read po_status=completed, received 5 of 5, through it at ~12:50). compliance-tracker moved 5b2ef432 -> 7a13df3d -> 6b56c00b in between.
IMPACT: it BLOCKS verification, not just reading. D6-07's read-back and the cancelled-PO half both go through this route, so R81_F25 cannot be re-proven while it is broken. The failure is in the INSTRUMENT, and R81_F25 must not be judged on runs that died here.
NOT FIXED HERE: compliance-tracker service code is the concurrent session's by agreement. Handed over with the four ids, the log lines and the getPurchaseOrder() filter as the starting point.",High,Function,owner,YES,TECHNICAL,"A resource that lists but cannot be opened is broken for every consumer, and it silently converts a verification failure into what looks like a product failure. Filed only after ruling out a tenant leak and an id-space mismatch, either of which would have been a materially different and worse claim.",false,false,false,false,false,false,false,,,false,2026-09-08 15:50:17.571718+00
R81_F31_DEMO_API_KEY_UNRESTRICTED_BEHIND_ONE_ENV_VAR,R81 K1-02,,ct/src/lib/supabase/api-key-auth.ts:97-113,,"AN UNRESTRICTED read,write API KEY IS ONE ENVIRONMENT VARIABLE FROM BEING LIVE FOR EXTERNAL INTEGRATORS. projexa_demo_key (org projexa_demo_org) has scopes ""read,write"" (unrestricted) and rateLimitPerMinute null (unlimited). The comment names the risk: fine for its original purpose, ""unsafe the moment it's handed to external integrators as the sandbox"".
GUARD: KNOWN_DEMO_KEY_IDS is built from process.env.DEMO_API_KEY_IDS, which is UNSET in every environment, so the key is rejected outright today. Setting that one variable activates the path.
NOTE THE ASYMMETRY, which is the actual defect: effectiveRateLimitFor() clamps demo keys to 30/min, so the RATE ceiling is applied when the key is allowlisted -- but the SCOPE ceiling is not. An external sandbox user would get a throttled key that can still WRITE to the demo org.
DORMANT-BEHIND-A-GUARD. Recommended: clamp demo-key scopes to read-only in the same place the rate limit is clamped, so activating the env var cannot grant writes.",High,Permission,n/a,YES,TECHNICAL,"The guard is an unset env var, the activation is a deliberate act someone will eventually take to publish a sandbox, and the code clamps the harmless dimension while leaving write access intact.",false,false,false,false,false,false,false,,,false,2026-09-08 15:51:31.892979+00
R81_F28_ONE_LINE_FROM_A_CROSS_TENANT_CACHE_LEAK,R81 K1-02,,projexa/src/lib/veridian-client.ts:842-846,,"A CROSS-TENANT DATA LEAK IS ONE PERFORMANCE CHANGE AWAY, AND THE CODE SAYS SO IN ITS OWN COMMENT. Next's ordinary fetch() cache keys on URL + METHOD + BODY ONLY -- NOT headers. Every PROJEXA read reaches VERIDIAN through callVeridian() -> fetchWithTimeout(), where tenancy is carried SOLELY by the per-org Bearer token from resolveApiKey(), and the URL path (e.g. ""/currencies"") is IDENTICAL across orgs. So adding `next: { revalidate }` to that shared fetch would serve org A's cached response to org B. The comment states it outright: ""That is a real cross-tenant leak (same class as E-45), not a theoretical one.""
WHAT HOLDS IT SHUT TODAY: every call site passes cache: ""no-store"" (lines 627, 723, 755, 817). That is the entire guard. A single perf-minded edit adding revalidate to the shared fetch removes it, and nothing tests for it.
CLASSIFICATION: DORMANT-BEHIND-A-GUARD -- a live path with a fuse, not dead code. This is precisely the class that produced R81_F25: a documented defect held shut by one condition, until a later change removed the condition.
RECOMMENDED, not done here: an assertion that fetchWithTimeout() never receives a cache mode other than no-store, so the guard is enforced rather than remembered.

--- SEVERITY CORRECTED Critical -> High, 2026-09-08, and the correction is mine to own ---
This was filed as ""one line from a cross-tenant leak"", which assumed Next caches fetch by default.
It does not, and has not since Next 15; projexa pins next ^16.2.10 (package.json:60) and ct 16.2.12.
So the leak is LATENT -- it requires someone to actively ADD caching (a next:{revalidate} on the
shared fetch, or removing a cache:""no-store"") -- not live. An independent verification pass overturned
the original severity and it was right to.
What remains true and is why this stays High rather than closing: the safety of every proxied
per-tenant read depends on four hand-written cache:""no-store"" opt-outs, the hazard is invisible at the
call site, and the triggering change reviews like an ordinary optimisation. That is now ENFORCED
rather than documented -- projexa 342c6a4 adds src/lib/veridian-client.cache-safety.test.ts, which
fails the build if any fetchWithTimeout call site loses its opt-out, if the shared fetch gains a
revalidate, or if the sanctioned cached helper stops keying on organizationId. Proven falsifiable:
removing one opt-out names that exact call site (veridian-client.ts:617).",High,Permission,n/a,YES,TECHNICAL,"The blast radius is every proxied read route for every tenant, the trigger is an ordinary optimisation, and the only thing preventing it is a convention repeated at four call sites with nothing enforcing it.",false,false,false,false,false,false,false,,,false,2026-09-08 15:51:31.892979+00
R81_F30_API_ME_NULL_RACE_UNGUARDED_ON_14_PAGES,R81 K1-02,,ct/src/app/(app)/settings/page.tsx:96-108 and ~14 sibling pages,,"/api/me INTERMITTENTLY RETURNS HTTP 200 WITH EVERY FIELD NULL, AND ONLY ONE PAGE DEFENDS AGAINST IT. The comment records it as live-confirmed by real Playwright, 3 of 3 trials: a transient server-side session-resolution race returns 200 with id/name/email/orgId all null, and the old code rendered a permanently empty Profile with no retry. The remedy written for it, fetchMeWithSessionRetry(), is used at EXACTLY ONE call site (settings/page.tsx:154). THE SERVER-SIDE RACE ITSELF WAS NEVER FIXED.
STILL UNGUARDED, doing a bare fetch(""/api/me"") on mount: crm/{page,accounts,campaigns,contacts,leads,opportunities,pipeline}.tsx (setSalesEnabled), erp/{journal-entries,procurement}/page.tsx (setErpEnabled), capability-registry/page.tsx:82 (setIsAdmin), finops/page.tsx:124 (setRole), hr/attendance/page.tsx:88, hr/page.tsx:65, erp/fixed-assets/[id]/page.tsx:72, pms/page.tsx:58.
CONSEQUENCE: on a raced load those pages silently render the WRONG ENTITLEMENT STATE -- CRM and ERP modules hidden as ""not enabled"", admin controls hidden, role null -- with no error and no retry. A user sees a product with features missing and nothing to indicate why.
The fix is per-page (use the existing helper) but the real fix is the server-side race.",High,Flow,n/a,YES,TECHNICAL,"A silent wrong-entitlement render is indistinguishable from ""the feature was never bought"", and the retry helper proving the race is real is applied to one page of fifteen.",false,false,false,false,false,false,false,,,false,2026-09-08 15:51:31.892979+00
R81_F29_AUTH_GUARD_CI_CHECK_NEVER_WIRED,R81 K1-02,,ct/scripts/check-route-auth-guard.mjs:36-44,,"THE CHECK THAT ENFORCES ""EVERY API ROUTE MUST CALL requireAuth()"" WAS WRITTEN, COMMITTED, AND NEVER WIRED INTO CI. Its own comment records why: ""NOT yet wired into .github/workflows/ci.yml as of this commit -- this session's git token lacks the workflow OAuth scope"", and it writes out the exact remedy: `node scripts/check-route-auth-guard.mjs --base origin/main`. VERIFIED STILL TRUE: git grep for check-route-auth-guard finds no hit anywhere in .github/workflows/; ci.yml wires TEN other check-*.mjs steps but not this one.
CONSEQUENCE: the CLAUDE.md-mandated authorization convention is UNENFORCED. A new src/app/api/**/route.ts with no auth guard passes CI clean. That is the same convention the 460-route authz gap and the authz drift pin exist to protect.
This is the cheapest fix in the sweep -- one CI step, already written verbatim in the comment -- and it has sat unapplied because the session that wrote it could not push a workflow file.

[R81 K1-04 CLOSED 2026-09-08, commit d6193e36] FIXED AND WIRED -- and wiring it revealed the check would NOT HAVE WORKED ANYWAY.
THE SECOND BUG, which is the more valuable half of this fault: both git calls inside getChangedFiles() carried a `2>/dev/null` suffix ON THE COMMAND STRING. execSync runs through cmd.exe on Windows, where that is not valid redirection -- cmd answered ""The system cannot find the path specified"", BOTH calls threw, both catch blocks returned """", and the check reported ""No new/changed API route or service files -- nothing to check"" and EXITED 0 FOR EVERY CHANGE. It was green and checking nothing. So this fault was worse than ""a check that was never wired"": it was a check that, if wired as-is, would have reported success while enforcing nothing.
PROVEN IN BOTH DIRECTIONS rather than assumed: a planted new src/app/api/**/route.ts exporting a GET with no requireAuth() call PASSED before the fix and now EXITS 1 naming the file; removing the plant returns exit 0. stderr is now suppressed through stdio, which is portable.
THE ORIGINAL BLOCKER IS GONE: the author recorded that their git token lacked the workflow OAuth scope, which is why it was never wired. This session's token has it -- the push to origin/main succeeded -- so the step is live in ci.yml alongside the ten other check-*.mjs steps.
Also wired in the same commit: scripts/check-comment-rot.mjs (K1-04's standing check).",High,Permission,n/a,YES,TECHNICAL,"An unenforced authorization convention is a convention, not a control. The remedy is one line and is already written; only the OAuth scope to commit a workflow file was missing.",false,false,true,true,true,false,false,compliance-tracker d6193e36 (pushed to origin/main),ct/scripts/check-route-auth-guard.mjs; ct/scripts/check-comment-rot.mjs; ct/.github/workflows/ci.yml,true,2026-09-08 15:51:31.892979+00
R81_F33_COMMENT_ROT_STALE_DEFECT_CLAIMS,R81 K1-02,,projexa/src/lib/currency.ts:23-26; projexa/src/lib/chain-options.ts:5; projexa/src/app/api/chain-options/route.ts:24,,"COMMENT ROT: THREE COMMENTS ASSERT DEFECTS THAT ARE NO LONGER TRUE, AND ONE OF THEM WOULD HAVE BEEN FILED AS A LIVE FAULT IF NOT CHECKED. Recorded as rot rather than as faults, per K1-03.
(1) currency.ts:23-26 claims, measured 2026-08-26, that ""4 of 5 real orgs in compliance.erp_currencies have NO base-currency row at all, so ... every amount they will ever see is labelled in the wrong currency."" RE-MEASURED LIVE 2026-09-08: 11 orgs have currency rows and ALL 11 have a base currency, codes AED and INR. The gap was closed after the comment was written -- R-63's org-provisioning fix. The comment now DEFAMES working code, and left alone it would have been re-filed as a live currency defect against requirements R-60/R-62. Checking before filing is the only reason it was not.
(2) chain-options.ts:5 and (3) api/chain-options/route.ts:24 both state the VERIDIAN chain-options endpoint ""does not exist yet"" and resolve levels LOCALLY from /scope as a stand-in. It DOES exist: ct/src/app/api/v1/projexa/chain-options/route.ts is present and fully implemented. The documented swap-in never happened, so PROJEXA is running a stand-in against a real endpoint it believes is missing -- which bears on R-80's ""ONE full pill path works end to end"".
THE GENERAL POINT, which is why this is a fault row and not a note: a comment asserting a defect that has been fixed is not harmless. It causes real work to be scheduled against nothing, and it makes the next sweep distrust every other comment in the file. K1-04's standing check exists to stop exactly this.",Low,Other,n/a,NO,TECHNICAL,"Filed as one row because the class matters more than the instances: two of the three would have produced wasted or wrong work, and the currency one nearly produced a false finding against a requirement that is genuinely satisfied.",false,false,false,false,false,false,false,,,false,2026-09-08 15:52:45.609678+00
R81_F32_UNWIRED_PILL_DEAD_ENDS_BEHIND_ONE_FLAG,R81 K1-02,,projexa/src/components/veri-chat/veri-chat-context.tsx:126-142,,"THE ""NO VISIBLE PILL MAY BE UNWIRED"" REQUIREMENT (R-81) IS CURRENTLY MET BY HIDING, AND ONE BOOLEAN UNDOES IT. The comment states the failure precisely: a module-chain leaf could carry deterministic:true, survive the prune, render as a pill, and STILL dead-end -- ""A prospect clicking at random drills a full cascade and arrives at a disabled button."" VeriComposer.tsx:113 sets isDispatchableChain only for the construction chain, and :346/:358 disable send for everything else.
GUARD: SHOW_UNDISPATCHABLE_MODULE_CHAINS = false at line 143. With it false, the /api/module-chain fetch is replaced by Promise.resolve([]). The comment itself says the behaviour ""comes back by flipping this one flag"", and veri-chat-context.test.ts:101 keeps the flag-ON branch alive and tested -- so the broken path is maintained, just not executed.
WHY THIS MATTERS TO THE LEDGER, and it is the reason this is filed rather than noted: requirements R-80 (""ONE full pill path works end to end"") and R-81 (""NO visible pill may be unwired -- hide the other 402"") are both currently BLOCKED. This comment is the evidence that R-81 is satisfied by SUPPRESSION, not by wiring. Any future session that flips the flag to expose more chains re-breaks R-81 silently, because nothing asserts the invariant ""every rendered pill is dispatchable"".
SECOND-ORDER: flipping it also re-adds a dependency on /api/module-chain, named in the R46 incident as hanging to Vercel's 300s cap.
RECOMMENDED, not done here: an assertion that every pill rendered is dispatchable, so R-81 is enforced by a test rather than by a flag.",High,Logic,n/a,YES,TECHNICAL,"A requirement met by hiding the failure is met until someone unhides it, and the flag that hides it is one line with a live, tested branch behind it. Directly bears on the state of R-80 and R-81.",false,false,false,false,false,false,false,,,false,2026-09-08 15:52:45.609678+00
