"File_Path","Kind","Exported_Functions","Domain","What_It_Computes","Key_Inputs","Key_Outputs","DB_Tables_Touched","Called_By"
"C:\ct\ct\src\lib\services\asset-query-service.ts","SERVICE","queryByAssetType, queryByModule, queryByStatus, queryByTags, queryByAiCapability, queryByKeywords (+ types PlatformAsset, AssetType, AssetStatus, AssetQueryContext)","UMR asset query layer","Index-backed asset lookups that never do an unfiltered table scan. Type/module/tags/aiCapability and status='active' are served from the in-memory active-asset cache, sorted by updatedAt desc and capped at 50; tags reproduce jsonb @> all-of containment; non-active statuses and keyword search hit Postgres (tsvector GIN with plainto_tsquery and ts_rank ordering)","{orgId}; assetType, module, status, tags[], capability, free-text query","PlatformAsset[] (org-scoped rows plus platform-tier orgId IS NULL rows)","platform_assets","lib/services/asset-routing-engine.ts; lib/services/capability-audit-service.ts; lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\services\asset-registry-cache.ts","SERVICE","CACHE_TTL_MS, getCachedOrgAssets, invalidateOrgCache, invalidateAllCaches, getCacheStats","UMR compiled metadata cache","A per-process 60-second TTL cache of an org's active platform assets plus platform-tier (orgId IS NULL) rows, with in-flight promise deduplication so concurrent misses issue one query, explicit invalidation after app-level writes, and a full clear when a platform-tier row changes (no single key represents that tier)","orgId (null/undefined means a platform-tier write)","CachedAsset[]; {cachedOrgs, entries[{orgId,count,ageMs}]}","platform_assets","lib/services/asset-query-service.ts; lib/services/asset-registry-service.ts; app/api/assets/cache/stats/route.ts"
"C:\ct\ct\src\lib\services\asset-registry-service.ts","SERVICE","validateRegisterAssetInput, registerAsset, getAssetByAssetId, getAssetBySource, updateAsset, archiveAsset, resolveOrgFilterMode, listAssetsByType, listAssetsByModule, sortByCreatedAtDesc (+ re-exported ServiceError)","UMR core registry","CRUD over platform_assets: validates required fields (name, assetType, sourceTable, sourceId), rejects a duplicate (sourceTable,sourceId) with 409, lets the DB default generate the universal Asset ID, soft-deletes only via status='archived' (never a hard DELETE), invalidates the cache on every write, and resolves the org filter into none / platform-only isNull / org-scoped","RegisterAssetInput; assetId; UpdateAssetInput; {orgId,status} list options","Inserted/updated/archived platform_assets rows; ValidationResult; OrgFilterMode","platform_assets","app/api/assets/[assetId]/manifest/route.ts; lib/services/asset-vector-search-service.ts; lib/services/capability-audit-service.ts"
"C:\ct\ct\src\lib\services\asset-relationship-service.ts","SERVICE","linkAssetDependency, linkAssetRelationship, getRelatedAssets, ASSET_ENTITY_TYPE","UMR relationship graph","Writes a depends_on edge into entity_relationships (the source of truth) AND maintains the denormalized platformAssets.dependencies array as a read cache; other relationship types are graph-only; rejects self-links and unknown assets; resolves neighbours back to full asset rows returning one row per edge with outgoing/incoming direction","{orgId,userId}; assetId, relatedAssetId (public AST-###### ids), relationshipType","Created edge row; RelatedAsset[] = full asset row + relationshipType + direction","platform_assets, entity_relationships (via entity-graph-service)","app/api/assets/[assetId]/manifest/route.ts; app/api/assets/[assetId]/relationships/route.ts"
"C:\ct\ct\src\lib\services\asset-routing-engine.ts","SERVICE","classifyAssetQueryDeterministic, filterAssetsByPermission, selectTopByRecency, resolveAssetQuery (+ re-exports queryByTags, queryByAiCapability, queryByKeywords)","UMR routing engine","Progressive narrowing instead of full-text scanning: deterministic word-boundary keyword classification into assetType + module (insertion order makes compound phrases win), an LLM fallback only when no keyword matched (policy-gated, logged, never fatal), index-backed narrowing that falls back to status='active' rather than an unfiltered scan, in-memory module filter that degrades gracefully, role permission filter, then top 5 by recency","Free-text query; {orgId,userId,userRole}","AssetRoutingResult{query, results, classification{assetType,module,source: deterministic|llm|none}}","platform_assets (via asset-query-service); orchestra_executions via recordOrchestraExecution","app/api/assets/search/route.ts"
"C:\ct\ct\src\lib\services\asset-search-content.ts","SERVICE","buildAssetSearchContent","UMR search (pure helper)","Builds the combined text an asset's search embedding is generated from by joining name, purpose and searchKeywords with ' | ', dropping falsy fields rather than emitting stray separators","{name, purpose?, searchKeywords?}","Concatenated content string","NONE - deliberately imports no DB or embeddings module","lib/services/asset-vector-search-service.ts (also re-exported from there)"
"C:\ct\ct\src\lib\services\asset-vector-search-service.ts","SERVICE","ASSET_ENTITY_TYPE, indexAssetForSearch, searchAssetsBySimilarity (+ re-exported buildAssetSearchContent)","UMR semantic / vector search","Stores an embedding per asset under entityType='platform_asset' (platform-scope org id when orgId is null), and runs similarity search with a 0.5 relevance floor - over-fetching 3x from findSimilar, narrowing to this entity type, then joining matches back to full platform_assets rows and dropping stale embeddings for deleted assets","assetId to index; queryText, orgId, limit (default 10)","AssetSearchMatch[] = full platform_assets row + similarity score","platform_assets, embeddings (via lib/embeddings storeEmbedding/findSimilar)","UNKNOWN - no importer found anywhere in src or scripts; grep matches were comment references only"
"C:\ct\ct\src\lib\services\assistant-memory-service.ts","SERVICE","searchAssistantMemories, recordAssistantMemory","AI assistant memory / RAG","pgvector cosine similarity search over compliance.assistant_memories for one assistant, honouring the temporal-versioning rule valid_until IS NULL and a 0.5 relevance threshold, plus insertion of a new memory row with its generated embedding. Composes inside the caller's already-open tenant transaction","TenantDb, assistantId, queryText, limit (default 5); category, content, metadata","AssistantMemoryMatch[]{id,category,content,score}; void on record","assistant_memories (raw SQL, pgvector - not representable in Drizzle)","lib/task-execution-engine.ts"
"C:\ct\ct\src\lib\services\audit-search-service.ts","SERVICE","searchAuditTrail","Audit trail search","One cross-table query surface over the compliance.audit_search view (unioning audit_logs, orchestra_executions and activity_log): filters by source table (validated against an allowlist), action ILIKE substring, entityType, entityId, userId and date range, ordered newest first with the limit capped at 500 (default 100). Always runs through withTenantContext so the view's security_invoker org filter applies","{orgId}; AuditSearchFilters{sourceTables,actionContains,entityType,entityId,userId,fromDate,toDate,limit}","AuditSearchRow[]{sourceTable,id,orgId,userId,actorLabel,action,entityType,entityId,details,createdAt}","compliance.audit_search view over audit_logs, orchestra_executions, activity_log","app/api/governance/audit-search/route.ts"
"C:\ct\ct\src\lib\services\auth-failure-service.ts","SERVICE","isValidAuthFailureMethod, recordAuthFailureAndCheckAnomaly","Security / auth anomaly detection","Logs every failed login across password, oauth, sso and passcode methods, counts that email's failures in a rolling 15-minute window, evaluates the repeated-failed-auth threshold, and escalates at most once per window per account (checking for an existing riskAnomalyEvents row first) to the matched user's org. Stays generic about whether the email exists","{email, method, ipAddress}","void; writes a failure row and, on threshold breach, an escalated anomaly","auth_failure_events, users, risk_anomaly_events (escalation via risk-escalation-service)","app/api/auth/failure-event/route.ts; lib/passcode-login-service.ts"
"C:\ct\ct\src\lib\services\automation-rule-service.ts","SERVICE","conditionsMatch, listAutomationRules, createAutomationRule, updateAutomationRule, deleteAutomationRule, listAutomationRuleRuns, evaluateAndRunRules (+ re-exported ServiceError)","Automation (trigger to condition to action)","Matches a single dotted-path equality condition against an event payload, comparing numerically when both sides are numeric-ish so a Postgres numeric read back as ""100"" matches the number 100 (a real fixed bug), then executes the matched rule's action - insert a notification or create a task - and writes a success/failed run row per rule. Top-level failures are swallowed so automation never breaks the caller","triggerType + payload; rule {name,triggerType,triggerConditions,actionType,actionConfig}","Rule rows; automation_rule_runs rows; created notifications or tasks","automation_rules, automation_rule_runs, notifications, tasks","app/api/automation-rules routes; notice-service.ts; pms-issue-service.ts; construction-boq/expense/labour/progress-service.ts; capability-backfill-service.ts"
"C:\ct\ct\src\lib\services\bcm-service.ts","SERVICE","getPlanDetail, addBusinessImpactAnalysis, addRecoveryProcedure, addExercise (+ re-exported ServiceError)","Business continuity management","Assembles a BCM plan with its business impact analyses, step-ordered recovery procedures and exercise history; auto-numbers the next recovery step from the existing count; logging an exercise rolls the plan's lastTestedDate forward and derives its status (tested_passed / tested_failed / tested_with_findings) from the outcome","planId; BiaInput{businessProcessName,impactDescription,rtoHours,rpoHours,criticalityLevel,dependencies}; RecoveryProcedureInput; ExerciseInput{exerciseDate,exerciseType,outcome,findings}","Plan detail object with nested BIAs, procedures and exercises; inserted rows","bcm_plans, bcm_business_impact_analyses, bcm_recovery_procedures, bcm_exercises","app/api/bcm/[id]/route.ts and its /bia, /exercises, /recovery-procedures routes"
"C:\ct\ct\src\lib\services\billing-cost-rollup-service.ts","SERVICE","isEffectiveAsOf, filterEffectiveAsOf, pickBestRate, pickActiveContract, computeAllocatedCost, computeCallBillableCost, resolveActiveContract, resolveActiveBillingRate, backfillLedgerCosts, rollupCostByDimension","Billing engine / cost allocation","Half-open [effectiveFrom, effectiveTo) rate and contract effectivity (approved/active statuses only), rate priority contract-backed org rate > bare org rate > standard with ties broken by highest rateVersion, allocated cost = input+output+cache cost (null, never 0, when none exist), billable cost via Formula 2 gross token charge, an idempotent NULL-only ledger backfill, and per-VERIDIAN/PRODUCT/ORG/USER/TASK rollups that deliberately keep null group keys visible","Ledger rows; {productKey,orgId,formula,asOf}; {limit,defaultProductKey}; {dimension,periodStart,periodEnd}","BillingRateRow / BillingContractRow; {billableInputTokens,billableOutputTokens,billableCost}; BackfillSummary; RollupRow[]","token_usage_ledger, billing_rates, billing_products, billing_contracts","UNKNOWN - no production importer found in src or scripts; only exercised by billing-cost-rollup-service.test.ts"
"C:\ct\ct\src\lib\services\business-rules-service.ts","SERVICE","evaluateConditionTree, validateConditionTree, canTransitionRuleStatus, listBusinessRules, getBusinessRule, createBusinessRule, updateBusinessRule, listBusinessRuleVersions, rollbackBusinessRule, activateBusinessRule, deprecateBusinessRule, archiveBusinessRule +3 more","Business rules engine / rule lifecycle","Recursive all/any condition-tree evaluation over 10 operators (eq, neq, gt, gte, lt, lte, contains, not_contains, is_empty, is_not_empty) against dotted-path record fields; shape validation capped at depth 10; a draft to active to deprecated to archived state machine with archived terminal; append-only versioning where every content edit and every rollback writes a NEW version; and a side-effect-free dry run that logs matched plus actionPreview","{moduleKey,name,conditionTree,action}; patch with changeNote; toVersion; {sampleRecord,version}","Boolean match; rule rows; version snapshot rows; test-run rows with matched/actionPreview/errorMessage","business_rules, business_rule_versions, business_rule_test_runs","app/api/business-rules/route.ts and its [id], /activate, /deprecate, /dry-run, /rollback, /versions routes"
"C:\ct\ct\src\lib\services\capability-audit-service.ts","SERVICE","runCapabilityAudit, shouldAuditCapability, buildAuditPrompt, parseAuditVerdict, findCapabilitiesDueForAudit, upsertImprovementProposal, dispatchProposalToHigherAI, listImprovementProposals, rejectImprovementProposal, closeImprovementLoop, findExistingUmrCandidate, buildTightTaskFromFindings +3 more","AI capability self-audit and improvement proposals","Which capabilities are due for audit, the audit prompt, the parsed verdict/findings, and the improvement proposal lifecycle (raise -> dispatch to higher AI -> reject/close).","TaskCapability rows, coverage stats, LLM audit response","AuditVerdict, AuditFindings, CapabilityImprovementProposal rows, DispatchResult","taskCapabilities, instructionPackages, capabilityImprovementProposals","app/api/ai/team/capability-improvements(+/[id]), app/api/internal/capability-audit/run"
"C:\ct\ct\src\lib\services\capability-backfill-service.ts","SERVICE","measureCapabilityCoverage, backfillCapabilityIndex, toCoverage","Capability index coverage","Indexed-vs-total coverage percentage per capability entity type, and the backfill pass that indexes whatever is missing.","ctx, entity type filter","CapabilityCoverageReport {byType, overall}, backfill counts","dynamicChains, embeddings","app/api/capability-registry/backfill, app/api/capability-registry/coverage"
"C:\ct\ct\src\lib\services\capability-bridge-service.ts","SERVICE","buildBridgeSearchQuery, findFdeMatchesForCapability, findTaskCapabilityForDynamicChainMatch","Capability <-> FDE / dynamic-chain bridge","Builds the search query that links a task capability to FDE assets and resolves the reverse mapping from a matched dynamic chain back to its task capability.","TaskCapability, dynamic chain match","FDE match list, TaskCapability","dynamicChains","lib/services/fde-service, lib/task-execution-engine"
"C:\ct\ct\src\lib\services\capability-learning-service.ts","SERVICE","deriveCapabilityKey, tokenizePrompt, wordOverlapScore, computeCoverageStats, deriveCapabilityStatus, findOrCreateCapability, findCapabilityByKey, findCapabilityByPromptOverlap, findApprovedPackage, recordExecutionOutcome, recordPackageUsage, exploreUnknownPrompt +2 more","AI capability learning from execution outcomes","Prompt tokenisation and word-overlap similarity, coverage statistics per capability, and the derived capability status band; records each execution's outcome bucket back onto the capability and its instruction package.","Prompt text, capability key, execution status counts","TaskCapability rows, CoverageStats, CapabilityStatus, ExecutionBucket","taskCapabilities, instructionPackages","app/api/ai/team/capability-improvements, app/api/prompt-compiler/execute, lib/ai-team/team-service, capability-audit-service, capability-bridge-service, dialogue-script-executor"
"C:\ct\ct\src\lib\services\capability-registry-service.ts","SERVICE","indexCapability, removeCapabilityIndex, buildCapabilityContent, findSimilarCapabilities, findSimilarPromptPatterns, indexPromptPattern, findSimilarPromptVersions, indexPromptVersion, findSimilarDynamicChains, auditDuplicateCapabilities, CAPABILITY_ENTITY_TYPES","Capability vector index","Embeds capability/prompt/chain content and returns nearest-neighbour matches; audits the index for duplicate capabilities.","Capability or prompt content, entity type, similarity threshold","Embedding rows, CapabilityMatch[], DuplicateCandidate[]","embeddings","app/api/capability-registry/duplicates, app/api/v1/brain/capabilities, lib/loops/capability-index-freshness-audit, lib/prompt-compiler/prompt-similarity, automation-rule-service, capability-backfill-service"
"C:\ct\ct\src\lib\services\capability-tree-service.ts","SERVICE","buildCapabilityTree, buildConstructionNodes, markDeterministic, agentDomainServesModuleDomain, GENERIC_ENTITY_ACTIONS, GENERIC_PRODUCT_ACTIONS","Cascading task-chain capability tree","Assembles the composer's option tree from real enabled product branches -> active modules by domain -> worker agents serving that domain -> ERP master-data branches (items/customers/suppliers) with generic action leaves; marks deterministic nodes and applies per-user usage ranking.","ctx.orgId/userId, enabled branches, module registry, agent registry, ERP master data","CapabilityNode tree with CapabilityInputField schemas","orgProductBranchEnablements, productBranches, productBranchModules, moduleRegistry, workerAgents, erpCustomers, erpSuppliers, erpItems, projects, computationEngines, complianceItems, gst* tables, departments","app/api/capability-tree, app/api/v1/projexa/capability-tree, /v1/projexa/module-chain"
"C:\ct\ct\src\lib\services\chain-options-service.ts","SERVICE","buildChainOptions, resolveChainLevel, makeChainOptionsRepo, parseValueInput, matchSegments, CHAIN_OPTION_LEGENDS, CHAIN_LEVEL_LEGENDS, VALUE_QUANTITY_STEPS, VALUE_PERCENT_STEPS","PROJEXA composer chain levels (modules -> verbs -> records -> card)","The composer's next-choice set at each level, resolved from real BOQ lines, roster rows and projects in ONE tenant transaction per request; parses quantity/percent value input against stepped ladders. Every leaf resolves to a {functionId, params} the task route re-validates - the option list is a hint, never an authorisation.","BuildChainOptionsInput / ChainLevelInput (module, verb, field key, partial segments)","ChainOptionsResult, ChainLevelResult {options, legend, next}","(reads via ChainOptionsRepo over BOQ line, BOQ version, roster and project rows)","app/api/v1/projexa/chain-options, lib/pipeline/run-submission"
"C:\ct\ct\src\lib\services\chain-usage-ranking.ts","SERVICE","computePathUsageScores, rankNodesByUsage, applyUsageRanking, computeUserChainUsageScoresWithDb, getUserChainUsageScores, getUserChainLibrary, USAGE_HALF_LIFE_DAYS","Per-user chain usage learning","Exponential time-decayed usage score per chain path (half-life USAGE_HALF_LIFE_DAYS), then reorders capability-tree nodes by that score and derives the user's personal chain library.","ChainUsageEvent[] (user's past chain selections), capability tree nodes","Path usage score map, reordered nodes, PersonalChainLibraryEntry[]","dynamicChains, tasks","app/api/dynamic-chains/my-library, lib/services/capability-tree-service"
