"Category","Item","File_Path","Kind_Of_State","Lifetime_Or_Scope","Read_By","Written_By","Failure_Or_Reset_Behaviour","Notes"
"B. Error contract","TASK_ERROR_CODES -- the write/rule refusal dictionary","C:\ct\projexa\src\lib\task-errors.ts:47-83","29-value const tuple + TASK_ERROR_DICTIONARY","Static","Every screen that renders a failed run; taskErrorFor(), messageFor()","Source code only","An unknown code renders unknownCodeMessage() -- the honest fallback -- not a crash.","Deliberately DUPLICATED from compliance-tracker's PIPELINE_ERROR_CODES rather than imported, because the two repos deploy separately: a code the server starts sending before this dictionary knows it must degrade, not break the shell. Codes: PROJECT_REQUIRED, BOQ_LINE_REQUIRED, VALUE_REQUIRED, DATE_REQUIRED, WORKER_REQUIRED, TITLE_REQUIRED, TASK_REQUIRED, ACTIVITY_REQUIRED, HOURS_REQUIRED, MATERIAL_REQUIRED, QUANTITY_REQUIRED, CATEGORY_REQUIRED, LINK_REQUIRED, BOQ_VERSION_REQUIRED, BOQ_LINE_NOT_FOUND, BOQ_LINE_IS_PARENT, PROJECT_NOT_REACHABLE, VALUE_OUT_OF_RANGE, RECORD_NOT_FOUND, ALREADY_RECORDED, REQUEST_REJECTED, FUNCTION_NOT_AVAILABLE, NOT_PERMITTED, READ_AS_QUESTION, DEPENDENCY_FAILED, BACKEND_UNAVAILABLE, UPSTREAM_TIMEOUT, INTERNAL_ERROR, UNKNOWN."
"B. Error contract","TaskErrorAction -- what the row's button does","C:\ct\projexa\src\lib\task-errors.ts:95","Union 'fix' | 'retry' | 'open'","Static","The error row's button","Source code only","'fix' loads the chain with the missing step's picker open AND STOPS -- it must never re-execute (M24's load-never-execute rule). 'retry' re-submits the identical body, ONLY for transport failures where nothing was written. 'open' executes nothing and retries nothing.","MissingStep keys into chain-walk.ts's level table: boqLine, project, value, task, worker. FIX_PARAMS: project, boqLine, boqVersion, value, date, worker, material, task."
"B. Error contract","READ_ERROR_CODES -- the READ failure vocabulary","C:\ct\projexa\src\lib\task-errors.ts:682-690","5-value const tuple","Static","read-outcome.ts, pane-state.ts paneError(), describeReadError()","classifyReadError()","Never a guess: with neither a recognised status nor a recognised message, the answer is the generic UPSTREAM_ERROR.","UPSTREAM_TIMEOUT, UPSTREAM_ERROR, STORAGE_UNAVAILABLE, NOT_AUTHORISED, NOT_FOUND. Note this is a THIRD closed set, distinct from VeridianErrorCode (transport) and TASK_ERROR_CODES (write rules) -- it is the read side. Merged into this file rather than starting a second dictionary (item D-65)."
"B. Error contract","classifyReadError precedence","C:\ct\projexa\src\lib\task-errors.ts:700-708","Pure function {status, message} -> ReadErrorCode","Per failure","read-outcome.ts errorOutcome(), describeReadError()","N/A","Order is load-bearing: STORAGE_MESSAGE (/supabasekey is required|supabase_?key/i) is checked FIRST, before status; then 401/403 -> NOT_AUTHORISED; 404 -> NOT_FOUND; 504/408 or /did not respond in time|timed out|timeout|ETIMEDOUT|ECONNRESET/i -> UPSTREAM_TIMEOUT; else UPSTREAM_ERROR.","STORAGE_UNAVAILABLE is only recoverable while the words 'supabaseKey is required' are still present, which is why read-outcome keeps the raw message alongside the redacted one."
"B. Error contract","sanitiseBackendMessage + UNSAFE_PATTERNS","C:\ct\projexa\src\lib\task-errors.ts:620-648","Regex redaction gate","Per message","read-outcome.ts (safeMessage), describeReadError(), taskErrorSentence()","N/A","Any match returns GENERIC_FAILURE = 'That didn't run. Nothing was saved.' Everything else is human prose authored in this project and passes through unchanged.","D-03's absolute rule. Patterns block: host:port, a camelCase parameter name (itemCode, projectId), a quoted snake_case function id, and the literal function_id. Also blocks IPs."
"B. Error contract","describeReadError -- the one sentence a failed pane shows","C:\ct\projexa\src\lib\task-errors.ts:731-743","Pure -> ReadErrorDescription","Per failure","pane-state.ts paneError()","N/A","retryable = code is neither NOT_AUTHORISED nor NOT_FOUND (a 401 or a 404 will not fix itself). detail is dropped when it redacts to GENERIC_FAILURE.","Sentence form: 'Couldn't load {entity} -- {reason} ({CODE}).' Reasons: didn't answer / returned an error / file storage is not configured for this environment / you don't have access to it / it isn't there any more. footer: '1 error on this screen'."
"B. Error contract","taskErrorSentence -- the three-way resolver","C:\ct\projexa\src\lib\task-errors.ts:670-681","Pure function","Per failure","Screens holding one Error message string","N/A","Order: a real code -> the dictionary's sentence; a safe backend sentence -> show it (most specific thing anyone knows); unshowable -> the caller's own fallback.","Exists because three screens were each about to decide this slightly differently. `fallback` lets Reports say 'Could not run Project Status' rather than one generic sentence for the whole product."
"B. Error contract","ListOutcome<T> -- a list read resolves to one of THREE things","C:\ct\projexa\src\lib\read-outcome.ts:100-140","Discriminated union ready|empty|error","Per read","use-list-read.ts, work-progress-reads.ts, DashboardHomeView.tsx, ProjectCreateClient.tsx","listOutcomeFromResponse(), listOutcomeFromError(), listOutcomeFromRows()","'empty' must be MINTED by a successful read -- it can never be arrived at by a .length===0 check on a defaulted value. There is no shape a failure can take that a caller could mistake for zero rows.","Kills the `?? []` mechanism: an error payload became an empty array no backend ever sent. Error variant carries message (VERBATIM, transport not display), safeMessage (redacted, safe to render), code, httpStatus, retry."
"B. Error contract","mayAssertEmpty / dashboardSummary -- empty-state honesty","C:\ct\projexa\src\lib\read-outcome.ts:20-70","Pure predicates","Per render","DashboardHomeView.tsx and the /dashboard greeting","N/A","data null + a failure => say the read failed. data null + no failure => genuinely nothing yet.","THE RULE: a screen may only state a definite fact when the read that establishes it SUCCEEDED. Not the same as 'show an error' -- R46S11_01 and R48_OVERVIEW both DID show a truthful error and then contradicted it one line below with a confident count. When GET /api/projects 504'd, /dashboard read 'No active projects yet' to an org with 5 active projects."
"B. Error contract","SourceStatus -- one status per SOURCE, not one spinner per screen","C:\ct\projexa\src\lib\source-status.ts","Union {loading}|{ok}|{error,text}","Per source, per screen","NO PRODUCTION CONSUMER -- grep finds only source-status.test.ts","sourceError(err, context)","mayShowFigure() requires EVERY source to be 'ok': a KPI tag is a claim about the data, so it may only render when the read establishing it succeeded.","VERIFIED UNUSED in src/. The defect: WorkProgressAnalyticalClient awaited four reads with no catch and set loading=false on the last happy-path line, so one rejected BOQ fetch left 'Loading…' for the session while KPI tags above already showed figures from the reads that HAD succeeded. errorTexts() returns every failure so a screen with two outages says both."
"B. Error contract","Storage-availability probe (fails OPEN)","C:\ct\projexa\src\lib\storage-status.ts","unstable_cache, org-keyed, 60 s, tag 'storage-status'","Per org, 60 s","documents/upload/page.tsx, drawings/new/page.tsx, permits/new/page.tsx","The probe itself lives in compliance-tracker (src/lib/storage-config.ts), cached 60 s there","FAILS OPEN on purpose: probe failure => 'configured', upload screens render normally. A guard that turned its own outage into 'file storage is not configured' would tell the user something it does not know. Failure is logged. Missing organizationId also returns true.","Also handles the case where unstable_cache throws its OWN invariant outside a request/render (isDataCacheUnavailable checks for 'incrementalCache'/'unstable_cache' in the message) and falls back to an uncached call. Asks 'can this server accept a file at all?' ONCE, server-side, before the user picks one -- the old failure was 'Failed to upload file' after choosing a file and filling a form."
"B. Error contract","STORAGE_UNAVAILABLE_BANNER / _REASON","C:\ct\projexa\src\lib\file-limits.ts:26,29","Wording constants","Static","Upload screens; re-exported by storage-status.ts","Source code only","N/A","STORAGE_UNAVAILABLE_REASON = 'file storage not configured'. Lives in file-limits.ts because that module is import-safe from a client component, while storage-status.ts is server-only (it reaches veridian-client, which reads the DB and holds the org's Bearer key)."
"B. Error contract","Slow-load notice thresholds","C:\ct\projexa\src\lib\slow-load.ts","Constants + useElapsedMs hook","Per load","NO PRODUCTION CONSUMER -- grep finds only slow-load.test.ts","N/A","Returns null while inside budget. One interval per mount, cleared on unmount and on every restart, so a screen reloading twice does not race two timers.","VERIFIED UNUSED in src/. SLOW_LOAD_BUDGET_MS 3_000 (D-13, 'Still loading documents from VERIDIAN…'), ELAPSED_LOAD_BUDGET_MS 5_000 (D-29, appends '(12 s)'). Starts at 0 rather than reading the clock during render -- a render-body clock read differs between server and first client pass (hydration mismatch)."
"B. Error contract","Cross-navigation receipt (screen band)","C:\ct\projexa\src\lib\screen-message.ts","sessionStorage, prefix `veri.screen.message:`","Per tab; READ-AND-CLEAR (shown exactly once)","DocumentObjectClient, DocumentUploadClient, DrawingCreateClient, DrawingObjectClient, DrawingsClient, PermitCreateClient","setScreenMessage(key, {level, text})","Every access wrapped -- sessionStorage throws outright in some privacy modes; a lost receipt must never take the screen down. A corrupted entry returns null rather than rendering '[object Object]'.","sessionStorage, NOT a query parameter: acceptance checks the landing URL exactly ('/permits?projectId=<id>') and a message is not part of a screen's address -- it must not survive a reload, a bookmark or a shared link. Levels: error|warning|success|info."
"B. Error contract","Cross-navigation receipt (footer band)","C:\ct\projexa\src\lib\footer-message.ts","sessionStorage, prefix `veri.footer.`, keyed by the DESTINATION route","Per tab; taken exactly once, then stays on screen while the component is mounted","FooterMessageBanner.tsx, ScheduleImportClient.tsx","setFooterMessage(route, message); clearFooterMessage(route) when a flow is abandoned","Every accessor try/catch'd; a blocked receipt degrades to 'no message', never a crashed screen. An unrecognised level defaults to 'success'.","A toast is wrong twice over: the kit's MessageArea says 'toasts vanish; errors must persist until resolved', and a toast fired before router.push() races the navigation. Example: an import finishing on /scope/import must show 'BOQ Fit-out v1 created - 128 lines, AED 1,254,300' on /scope/<newId>."
"B. Error contract","ApiError + fetchJson","C:\ct\projexa\src\lib\fetch-json.ts","Error class carrying .status","Per call","~63 client call sites; read-outcome.ts listOutcomeFromError()","fetchJson()","res.ok is read before the body. Parses defensively -- a proxy 502 or an HTML error page is not JSON, and a parse failure must not mask the status.","Kills R48_HTTP_ERROR_SWALLOWED_AS_EMPTY_LIST_01: 63 call sites across ~30 client components did `const data = await res.json(); setThings(data.things ?? [])` -- an error body parsed fine, data.things was undefined, and `?? []` turned a failed request into an empty list. The surrounding try/catch could not save it: catch only fires on network or JSON-parse failure, never on an HTTP status."
"C. Server memory","Workspace Memory capsule export","C:\ct\ct\src\lib\services\workspace-memory-service.ts:87","Portable .mv2 memvid capsule written to Supabase Storage","Per (org, user); signed URL TTL 300 s","GET /api/workspace-memory/latest, drive-export route","exportWorkspaceMemory(ctx, request, {syncMethod})","Throws ServiceError (re-exported from compliance-service.ts -- it used to define its own identical class, the same instanceof footgun sales-engine-service.ts already fixed).","Contains ONLY the acting user's own saved report definitions and their own recent AI-thread dialogue -- never another user's data, never a live re-query of underlying compliance/financial records. Bucket 'compliance-documents'. Caps: MAX_CONVERSATIONS 20, MAX_MESSAGES_PER_CONVERSATION 200. Returns itemCounts {savedReports, conversations, messages}."
"C. Server memory","Workspace Memory capsule import","C:\ct\ct\src\lib\services\workspace-memory-service.ts:270","Reads a .mv2 into saved reports; conversations parsed for COUNT only","Per (org, user), explicit user action only","POST /api/workspace-memory/import and /drive-import (both funnel here -- SEC-04: one import code path per transport)","importWorkspaceMemory(ctx, fileBytes, request, {syncMethod})","MAX_IMPORT_SIZE_BYTES 25 MB -> ServiceError 400. NEVER overwrites: saved reports are ADDED, never updated.","Conversations are deliberately NOT reinjected into the live conversations/messages tables -- that model has participant/FK/RLS semantics a capsule does not carry, and silently resurrecting old AI history is exactly the silent-corruption risk SEC-04 exists to prevent. The uploaded capsule is preserved at objectPath so nothing is lost; there is no in-app viewer for it (disclosed gap)."
"C. Server memory","@memvid/sdk telemetry kill-switch","C:\ct\ct\src\lib\services\workspace-memory-service.ts:45","process.env.MEMVID_TELEMETRY = '0' at module scope","Process lifetime","The SDK, at call time","This module (the only file in the codebase importing @memvid/sdk)","N/A","The SDK phones home a path-hash + command-name event on every operation by default. Set at module load, not per-call, because the SDK reads it at call time. The SDK is lazily imported inside the two functions that need it (heavy install-time dependency tree); next.config.ts's serverExternalPackages keeps it out of unrelated bundles. Uses core non-AI API only -- no .ask(), no adapters, no embeddings."
"C. Server memory","workspace_memory_capsule_events table","C:\ct\ct\src\lib\db\schema.ts:12490","Postgres table in the `compliance` schema","Persistent, per (org, user)","GET /api/workspace-memory (history list), /latest","exportWorkspaceMemory / importWorkspaceMemory","status 'completed' | 'failed', with errorMessage.","Columns: id, orgId, userId, direction ('export'|'import'), storageObjectPath, fileSizeBytes, itemCounts (jsonb, COUNTS ONLY -- never the capsule's content, which lives solely in the .mv2), status, errorMessage, syncMethod ('manual'|'google_drive'|'veridian_pull'|null; null = pre-wave rows, deliberately not backfilled), createdAt."
"C. Server memory","Workspace Memory HTTP surface (6 routes)","C:\ct\ct\src\app\api\workspace-memory\{route,latest,export,import,drive-export,drive-import}\route.ts","Next route handlers","Per request","Settings > Workspace Memory UI","N/A","All six call requireAuth() first; export/import/drive-* also call requireRole(). No API-key path on export -- it is a personal action, not a server-to-server integration.","GET / lists this user's own past events. GET /latest returns a fresh signed URL to the caller's OWN most recent export (Option 3, 'veridian_pull' -- a query plus a signed URL, no new sync mechanism). POST /export, /import (file picker + button, never silent). POST /drive-export, /drive-import (Option 2)."
"C. Server memory","Google Drive capsule sync","C:\ct\ct\src\lib\services\workspace-memory-drive-sync.ts","Files in a Drive folder named 'VERIDIAN Workspace Memory'","Per user's connected Drive account","downloadLatestCapsuleFromDrive() -> the same importWorkspaceMemory()","uploadCapsuleToDrive() after the SAME exportWorkspaceMemory() Option 1 uses (no second export code path)","If Drive upload fails, the capsule is STILL safely stored in Supabase (the local export already succeeded) -- the error response makes that distinction explicit rather than implying total failure.","requireActiveDriveConnection(ctx) gates it; ensureDriveSyncFolder() creates the folder."
"C. Server memory","Assistant semantic memory (pgvector)","C:\ct\ct\src\lib\services\assistant-memory-service.ts","compliance.assistant_memories rows with an `embedding` vector column","Durable, cross-session, temporally versioned","task-execution-engine.ts:2166 (searchAssistantMemories before an LLM call)","task-execution-engine.ts:2440 (recordAssistantMemory with category 'task_outcome')","RELEVANCE_THRESHOLD 0.5 -- matches at or below cosine score 0.5 are filtered out. Default limit 5.","Raw SQL, not Drizzle: pgvector columns are not representable in Drizzle. Query is `1 - (embedding <=> $vec::vector) as score` with `WHERE valid_until IS NULL`, honouring the Wave 22 temporal-versioning design (validUntil set = superseded) -- this is that column's FIRST real consumer. Callers pass an already-open tenant-scoped tx so it composes inside an existing withTenantContext block."
"C. Server memory","Memory tier registry (ARTICLE-050 contract)","C:\ct\ct\src\lib\services\memory-tier-registry.ts","Declarative MemoryTierEntry[] metadata","Static","classifyMemoryTier(table), tablesForTier(tier); future audits/lint rules","Source code only","classifyMemoryTier returns null for an unclassified table.","OPERATIONAL: messages, conversations, activity_log, assistant_sessions (appended or mutated in place; no supersession semantics). LONG_TERM_KNOWLEDGE: assistant_memories, task_capabilities, instruction_packages, platform_assets (each carries a real lifecycle field -- validFrom/validUntil, a version counter, or an approved/status field). The separation already existed architecturally but was never DECLARED, so nothing could check it mechanically."
"D. Offline capture","Per-user IndexedDB work-progress queue","C:\ct\projexa\src\lib\offline\work-progress-queue.ts","idb-keyval store, DB name `projexa-offline-work-progress::<scope>`, object store 'queue'","Persistent on the device, scoped to ONE Supabase auth user id","WorkProgressFormClient.tsx (listQueuedWorkProgressEntries)","enqueueWorkProgressEntry(scope, entry)","Every function REQUIRES an explicit `scope`; there is no fallback 'unscoped' store.","Post-audit fix (PR #54): it used to be a single global createStore('projexa-offline') shared by the whole browser origin, so on a handed-off field tablet a second user would see and auto-sync the FIRST user's queued entries -- POST /api/work-progress attributes the sync to whoever's session cookie is active at sync time, not to any per-entry field. Another user's entries now live in a never-referenced store."
"D. Offline capture","QueuedWorkProgressEntry shape","C:\ct\projexa\src\lib\offline\work-progress-queue.ts:60-88","IndexedDB record","Until synced or manually removed","listQueuedWorkProgressEntries()","enqueue + patchEntry()","boqLineItemId and entryBasis are OPTIONAL on purpose -- entries queued by an older build already sit in real browsers without them and must still sync rather than throw.","Fields: localId (`local-<uuid>`), projectId, activityId, entryDate, quantityDone, percentComplete, boqLineItemId?, entryBasis? ('DELTA'|'SNAPSHOT'), remarks?, photo?, status, error?, attempts, queuedAt. R47 fault: boqLineItemId and entryBasis were sitting in IndexedDB the whole time and were simply never POSTed -- every offline entry synced with a NULL BOQ link (earning nothing, silently) and a defaulted basis, which for a SNAPSHOT entry CORRUPTS the running total (M25: quantity SUMS, percent REPLACES)."
"D. Offline capture","Queue status vocabulary + retry cap","C:\ct\projexa\src\lib\offline\work-progress-queue.ts:57-88","status: 'pending'|'syncing'|'error'|'failed'; MAX_SYNC_ATTEMPTS = 5","Per entry","The drain loop's filter","patchEntry() on each failure, incrementing attempts","'error' has failed fewer than 5 times and IS retried on the next sync. 'failed' has hit the cap and is PERMANENTLY excluded from automatic retries (e.g. its activityId was deleted server-side -- retrying forever against a real 4xx wastes every future `online` event).","The drain filters out both 'syncing' and 'failed' before it starts."
"D. Offline capture","Sync mutex (syncLocks)","C:\ct\projexa\src\lib\offline\work-progress-queue.ts:157-170","Module Map<scope, Promise<{synced,failed}>>","Duration of one drain","syncQueuedWorkProgressEntries()","Same function; cleared in .finally()","A GENUINE mutex, not a best-effort status flag: the lock is written SYNCHRONOUSLY, before the async body reaches its first await, so a second call made immediately after the first (e.g. from Promise.all) is guaranteed to observe it and reuse the in-flight promise.","Prevents double-POSTing when a component remount races the 'online' event, or a flaky connection fires 'online' more than once."
"D. Offline capture","Replay against the real route","C:\ct\projexa\src\lib\offline\work-progress-queue.ts:172-230","POST /api/work-progress per entry, serially","Per drain","N/A","syncQueuedWorkProgressEntries(scope, onEvent)","Success -> removeQueuedWorkProgressEntry + synced++. Failure -> status 'error' or 'failed', error message kept, attempts++, failed++. onEvent emits SyncEvent {localId, phase: syncing|synced|error|failed}.","'Always queue, sync opportunistically' -- there is no separate offline-only code path, so the online and offline flows share one implementation. Body sends projectId, activityId, boqLineItemId, entryBasis, entryDate, quantityDone, percentComplete, remarks."
"D. Offline capture","Photo blobs (capture + deferred upload)","C:\ct\projexa\src\lib\offline\work-progress-queue.ts:52,131-150","Blob stored natively in IndexedDB (structured-cloneable, no base64)","Until its entry syncs","uploadQueuedPhoto(veridianEntryId, photo)","The form, at enqueue time","Deliberately best-effort and OUTSIDE the main sync try/catch: a photo upload failure must not resurrect an already-synced entry (flip it back to 'error'/retry) or change the synced/failed counters. Failure is console.warn'd only.","Uploads to POST /api/work-progress/photos (Supabase Storage-backed, drizzle/0013) as multipart FormData. R42 seq22: this was module-private, so the ONLINE immediate-submit path never called it at all -- a photo attached while online was SILENTLY DROPPED and only ever uploaded via the offline path. Now exported and called by both."
"D. Offline capture","Form wiring: scope resolution + online listener","C:\ct\projexa\src\components\WorkProgressFormClient.tsx:144-158, 320-341, 414-420","React state: scope (auth user id), queued[]","Per mount","The queued-entry list UI","createClient().auth.getUser() sets scope; queueOnDevice() enqueues","If scope is still null, queueOnDevice() refuses with 'Still verifying your session -- try again in a moment' rather than writing to an unscoped store. On mount and on every window 'online' event it runs the drain (guarded by navigator.onLine) and toasts 'Synced N queued entries' when synced > 0.","queueOnDevice(reason) clears the form 'as if it had landed' and shows an info-level message. A queued photo is shown as 'saved on this device'."
"E. Localization","English message catalogue","C:\ct\projexa\messages\en.json","JSON message tree","Build-time asset","loadMessages('en') via dynamic import","Source file","N/A","21,994 bytes, 322 leaf keys. Top-level namespaces: Nav, Auth, Marketing. Marketing subtree: header, hero, problem, solution, system, moduleCatalog, copilot, value, roi, selfCoordination, finalCta, contactForm, footer, howItWorks."
"E. Localization","Hindi message catalogue","C:\ct\projexa\messages\hi.json","JSON message tree","Build-time asset","loadMessages('hi')","Source file","N/A","39,756 bytes -- 1.8x English, because Devanagari is multi-byte in UTF-8, not because it has more content: BOTH files have exactly 322 leaf keys and identical namespace structure. A COMPLETE shipped translation, including the whole Marketing tree."
"E. Localization","Locale vocabulary (leaf module, zero imports)","C:\ct\projexa\src\i18n\locales.ts","Constants + pure resolvers","Static","src\middleware.ts (Edge), src\lib\public-page-cache.ts, src\i18n\request.ts, marketing-locale.ts","Source code only","isSupportedLocale() narrows; resolveLocale(undefined) -> DEFAULT_LOCALE.","SUPPORTED_LOCALES = ['en','hi'], DEFAULT_LOCALE = 'en', LOCALE_COOKIE = 'NEXT_LOCALE'. Imports NOTHING by design, so it is safe from middleware, a Server Component, and bun test alike. Replaces a hand-synced copy that lived in both request.ts and middleware.ts."
"E. Localization","localeFromAcceptLanguage","C:\ct\projexa\src\i18n\locales.ts:42","Pure header parser","Per first visit","src\middleware.ts resolveLocale()","N/A","Returns null when the header names no supported locale.","First tag's PRIMARY SUBTAG only, no q-value weighting -- e.g. 'hi-IN,hi;q=0.9,en;q=0.8' -> 'hi'. A full negotiation algorithm is more than a first-visit default needs."
"E. Localization","Catalogue loader","C:\ct\projexa\src\i18n\messages.ts","Dynamic import of ../../messages/<locale>.json","Per render","request.ts getRequestConfig, MarketingLocaleProvider, tests","N/A","UNKNOWN (a missing locale file would throw at import)","Deliberately still a DYNAMIC import: a static `import hi from '../../messages/hi.json'` would pull BOTH catalogues into every server bundle touching this module."
"E. Localization","Client message namespace allow-list","C:\ct\projexa\src\i18n\client-messages.ts","CLIENT_MESSAGE_NAMESPACES const + pickClientMessages()","Static; serialised into the RSC payload","src\app\layout.tsx -> NextIntlClientProvider","Source code only","A namespace that does not exist in the catalogue is SKIPPED rather than throwing -- a missing translation must not take a page down.","R67 J-03 / audit R-280: layout.tsx handed getMessages() -- the ENTIRE catalogue -- to the client provider, so all 21,725 bytes of en.json (39,342 of hi.json) shipped on every page load, including two marketing pages the audit measured at 826 KB first-load JS. Almost none was reachable: Server Components use getTranslations() and never touch the provider. The five real namespaces: Auth.login, Auth.signup, Marketing.contactForm, Marketing.header, Nav. The test regenerates the list from the filesystem in BOTH directions."
"E. Localization","next-intl request config","C:\ct\projexa\src\i18n\request.ts","getRequestConfig; reads NEXT_LOCALE via next/headers cookies()","Per render, cached by next-intl per locale argument","Every getTranslations()/getMessages() call","N/A","resolveRequestLocale(requested, readCookie) honours an EXPLICIT locale first and never reads the cookie for it -- on a force-static route reading one is pointless, and on a dynamic route it would be a request-time read the caller did not ask for.","The authenticated app does NOT do URL-prefix locale routing: locale comes purely from the cookie, with no URL involvement, because [locale]/dashboard would rewrite every path middleware's page-access check matches against."
"E. Localization","NEXT_LOCALE cookie","C:\ct\projexa\src\middleware.ts:44-66","HTTP cookie","path=/, maxAge 31,536,000 s (1 year), sameSite=lax","request.ts readLocaleCookie(); middleware resolveLocale()","withLocaleCookie() -- ONLY when the incoming request did not already have one (real first-visit detection, not a per-request refresh)","NEVER applied to a cacheable public route -- those no longer vary by it.","Resolution order: cookie -> Accept-Language first subtag -> DEFAULT_LOCALE. Applied to whichever response the middleware returns (redirect or pass-through) so detection works on every branch."
"E. Localization","Parallel Hindi marketing route tree","C:\ct\projexa\src\app\hi\page.tsx and C:\ct\projexa\src\app\hi\how-it-works\page.tsx","Prerendered static documents","`dynamic = ""force-static""`, `revalidate = 3600`","Public visitors, via a middleware REWRITE","Build time; every string from messages/hi.json including generateMetadata()","Under force-static Next hands the page an EMPTY cookie store, so next-intl resolves the default locale no matter what NEXT_LOCALE says -- one cached document cannot vary by cookie.","A REWRITE, never a redirect: the canonical URL stays '/' for everyone, and the rewrite target is what a CDN keys its cache on. The first cut of J-01 accepted English-for-everyone, which SILENTLY RETIRED the complete shipped Hindi translation on the only two pages an unauthenticated prospect ever sees."
"E. Localization","MarketingLocaleProps -- the explicit-locale rule","C:\ct\projexa\src\components\marketing\marketing-locale.ts","Prop type contract","Per render","Every marketing Server Component (must pass {locale} to getTranslations)","Source code only","marketing-locale.test.ts regenerates the rule from the filesystem: a marketing component calling getTranslations() without an explicit locale FAILS the suite.","Not a style preference. next-intl caches its config PER LOCALE ARGUMENT, and layout.tsx renders first, already asking for the ambient locale -- so by the time the /hi page's children run the ambient entry is resolved to the default and setRequestLocale() cannot change it. Without an explicit locale the Hindi document renders in ENGLISH while looking translated in the source."
"E. Localization","MARKETING_ROUTES locale map","C:\ct\projexa\src\lib\public-page-cache.ts:34","const satisfies Record<string, Record<SupportedLocale, string>>","Static","src\middleware.ts localisedMarketingPath()","Source code only","The `satisfies` clause is a real guard: adding a third locale to SUPPORTED_LOCALES fails the typecheck here until that locale has a document, rather than silently serving it English.","'/' -> {en:'/', hi:'/hi'}; '/how-it-works' -> {en:'/how-it-works', hi:'/hi/how-it-works'}. LANDING_ROUTES is derived from the '/' entry."
