"Topic","Step_No","Action","Command_Or_File_Path","Expected_Result","Failure_Mode","Source_Doc"
"STORAGE-BUCKETS","76","Apply the two storage.objects RLS policies that go with work-progress-photos","C:\ct\projexa\drizzle\0013_work_progress_photos.sql (bottom)","SELECT and INSERT policies keyed on bucket_id='work-progress-photos' AND (storage.foldername(name))[1]::uuid IN (select organization_id from public.memberships where user_id = auth.uid())","Objects are stored at ${organizationId}/${veridianEntryId}/${filename} - a different path shape breaks the policy's leading-segment tenant check","C:\ct\projexa\drizzle\0013_work_progress_photos.sql"
"STORAGE-BUCKETS","77","Know how PROJEXA reads photos back","C:\ct\projexa\src\app\api\work-progress\photos\route.ts:6 (BUCKET const), :34 (upload), :77 (read)","GET returns per-row supabase.storage.from(BUCKET).createSignedUrl(storage_path, 3600) - 1-hour signed URLs, bucket stays private","Written via the signed-in user's own Supabase session (RLS-respecting), NOT a service-role bypass - a broken membership row silently yields zero photos, not an error","C:\ct\projexa\src\app\api\work-progress\photos\route.ts"
"STORAGE-BUCKETS","78","Verify storage config without uploading a file","GET /api/health -> storageConfigured boolean","true ONLY when SUPABASE_SERVICE_ROLE_KEY resolves AND the compliance-documents bucket exists and is readable with that key","The probe answers two questions in order and stops at the first no; internal reason is 'ok' | 'missing_env' | 'bucket_unavailable', cached 60 s in module scope, and is deliberately NOT exposed on the unauthenticated health route","C:\ct\ct\src\lib\storage-config.ts; C:\ct\ct\src\app\api\health\route.ts"
"STORAGE-BUCKETS","79","Keep client-side upload caps aligned with the real bucket limit","C:\ct\ct\src\lib\services\document-service.ts:18 (MAX_SIZE_BYTES = 25*1024*1024); C:\ct\projexa\src\components\DrawingCreateClient.tsx (MAX_DRAWING_MB = 25)","Client and server both refuse >25 MB before the user commits","Real prior bug (R67 D-78): the PROJEXA drawing form advertised 50 MB while the shared server helper enforced 25 MB, so a 40 MB drawing passed every client check and was refused after Save","C:\ct\ct\src\lib\services\document-service.ts; C:\ct\projexa\src\components\DrawingCreateClient.tsx"
"ENV-VAR-PROCESS","80","PROCEDURE - adding a NEW env var (step 1 of 4)","Add it to C:\ct\ct\.env.example under the right section with a one-line note on which Vercel target(s) it applies to","The var is discoverable by the next engineer","PROJEXA has no .env.example, so this step has no PROJEXA equivalent today","C:\ct\ct\docs\infra\ENVIRONMENT_CONFIG.md §4"
"ENV-VAR-PROCESS","81","PROCEDURE - adding a NEW env var (step 2 of 4)","If the app breaks without it, add its name to REQUIRED_ENV_VARS in C:\ct\ct\src\app\api\internal\secrets-audit\run\route.ts","The daily 07:00 UTC cron catches a missing value instead of it becoming a live incident","REQUIRED_ENV_VARS is deliberately partial (its own header says so). It is a PRESENCE check only - it confirms a var is set, never that the value is right for that environment","C:\ct\ct\docs\infra\ENVIRONMENT_CONFIG.md §2-4; C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §3"
"ENV-VAR-PROCESS","82","PROCEDURE - adding a NEW env var (step 3 of 4)","Set the real value in Vercel: production-only via target=[""production""]; staging-branch-only via target=[""preview""], gitBranch=""staging"" (see the curl shape in .github/workflows/sync-vercel-env.yml)","Var scoped to the intended target(s)","Every var on the live project already has separate rows per target (production/preview/development); what was missing was the documented process, not the mechanism","C:\ct\ct\docs\infra\ENVIRONMENT_CONFIG.md §2-4"
"ENV-VAR-PROCESS","83","PROCEDURE - adding a NEW env var (step 4 of 4)","Add the real value to your own C:\ct\ct\.env.local (never committed)","Local dev picks it up","-","C:\ct\ct\docs\infra\ENVIRONMENT_CONFIG.md §4"
"DEPLOY","84","Know the deployment targets before planning a release","Vercel project veridian-compliance-ai (prj_mRRWcMvhyuxgRZtcfp4ArSzcOvII), Hobby plan, region sin1 per vercel.json in that doc; PROJEXA project 'projexa'","3 real targets: production (main), preview (any other branch), development (vercel dev / .env.local)","Older docs and comments still call the project by its pre-rename name compliance-tracker-ai - same project ID throughout. Note C:\ct\ct\vercel.json on disk today says regions ['bom1'], not sin1 - re-check live before citing region","C:\ct\ct\docs\infra\DEPLOYMENT_ENVIRONMENTS.md; C:\ct\ct\docs\runbooks\rollback.md; C:\ct\ct\vercel.json"
"DEPLOY","85","Understand why there is no Vercel 'staging' environment","Hobby plan caps custom environments at 0 (verified live, not assumed); Custom Environments is Pro/Enterprise","Staging is a long-lived git branch literally named 'staging' whose preview deployments carry staging-only vars via the gitBranch scoping field (free on every plan)","Enabling the paid feature is a billing-affecting owner decision (AGENTS.md Rule 7(e)), never an agent action","C:\ct\ct\docs\infra\DEPLOYMENT_ENVIRONMENTS.md; C:\ct\ct\docs\infra\ENVIRONMENT_CONFIG.md"
"DEPLOY","86","Create the staging branch only when a staging deploy is first actually needed","git push origin main:staging, then run the 'Sync Env Vars to Vercel (staging)' workflow once (workflow_dispatch)","Every push to staging gets a Preview deployment with gitBranch-scoped vars invisible to other previews","The staging branch did not exist as of that doc; it has NO branch protection (main does, with enforce_admins on); and it uses the SAME Supabase project as production - no isolated staging data layer exists","C:\ct\ct\docs\infra\DEPLOYMENT_ENVIRONMENTS.md; C:\ct\ct\docs\infra\ENVIRONMENT_CONFIG.md §3"
"DEPLOY","87","DEPLOY IS LOCKED. Read the owner guide before attempting any deploy","C:\ct\ct\VERCEL_DEPLOY_OWNER_GUIDE.md (also C:\ct\projexa\VERCEL_DEPLOY_OWNER_GUIDE.md)","Vercel is a customer-facing production surface ONLY - never used to dev/test/deploy-to-check. Credits are exhausted","Binding policy is platform.crr_ruling id R76-RULING-01 in Supabase project pcrjmlpuqsbocqfwoxod; it governs BOTH repos","C:\ct\ct\VERCEL_DEPLOY_OWNER_GUIDE.md; C:\ct\projexa\CLAUDE.md"
"DEPLOY","88","The 4-step owner deploy procedure (owner only)","1) Vercel dashboard -> project (veridian-compliance-ai or projexa) -> Settings -> Environment Variables; 2) set OWNER_DEPLOY_APPROVAL to today's UTC date, format 2026-09-06 exactly; 3) push/redeploy as normal; 4) clear or leave the variable (it expires on its own tomorrow)","That build proceeds; every other build is skipped","Only the owner may set OWNER_DEPLOY_APPROVAL, directly in the dashboard. No session or agent may set it. If anyone says a deploy needs more than these 4 steps, that is the pattern the lockdown exists to stop","C:\ct\ct\VERCEL_DEPLOY_OWNER_GUIDE.md"
"DEPLOY","89","Understand the lockdown layers so you do not accidentally weaken one","Layer 1 vercel.json git.deploymentEnabled {""*"": false} (ct also pins ""main"": false); Layer 2 vercel.json ignoreCommand: sh -c '[ -n ""$OWNER_DEPLOY_APPROVAL"" ] && [ ""$OWNER_DEPLOY_APPROVAL"" = ""$(date -u +%Y-%m-%d)"" ] && exit 1; exit 0'; Layer 3 the drift test; Layer 4 the owner guide","Gate fails closed on unset/empty/wrong-date/malformed-date","PROJEXA's Layer 3 is C:\ct\projexa\src\lib\vercel-lockdown.test.ts, plus a CI step 'Guard against deleting the Vercel-lockdown drift test' that does not depend on the file's content","C:\ct\ct\vercel.json; C:\ct\projexa\vercel.json; C:\ct\projexa\CLAUDE.md; C:\ct\ct\.github\workflows\ci.yml"
"DEPLOY","90","Layer 0 (revoking the Vercel token / disconnecting the Vercel MCP connection) is an OWNER action","C:\ct\ct\VERCEL_DEPLOY_OWNER_GUIDE.md","Credential itself revoked","Not done. Layers 1-3 stop the ordinary git-push and CI-config paths; they do not revoke the credential","C:\ct\projexa\CLAUDE.md; C:\ct\ct\VERCEL_DEPLOY_OWNER_GUIDE.md"
"DEPLOY","91","Know that scheduled work runs as Vercel crons, not a separate worker","C:\ct\ct\vercel.json ""crons"" array","~30+ daily/weekly/monthly jobs hitting /api/internal/**/run, e.g. secrets-audit 0 7 * * *, loops 0 3 * * *, metric-alerts 0 5 * * *, role-quality-regression 45 10 * * *","Every cron route authenticates with CRON_SECRET; an empty secret makes them all 401 silently (see step 16). Hobby plan cron limits apply","C:\ct\ct\vercel.json"
"DEPLOY","92","A code fix reaches production only through the normal gate - no break-glass","branch -> PR -> CI (Lint / Type Check / Build / Unit Tests + migration & governance checks) -> merge","main has branch protection with enforce_admins on","AGENTS.md Rule 6 has NO documented break-glass exception, including during a Sev-1. This is why rollback (not a hot fix) is the first incident lever","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §4; C:\ct\ct\.github\workflows\ci.yml"
"ROLLBACK","93","Decide WHICH layer you are rolling back first","Two independent layers: application code (Vercel/git) and database schema (Drizzle migrations)","A code-only Vercel rollback never touches the database; a schema rollback is a separate, deliberate action","Never do a schema rollback as part of a Vercel rollback","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §1"
"ROLLBACK","94","Step 1 - run the read-only rollback drill to identify the target","node C:\ct\ct\scripts\rollback-drill.mjs","Calls Vercel GET /v6/deployments, prints the currently-live production deployment and the best rollback candidate (most recent READY deployment with isRollbackCandidate:true before it). Makes ZERO deployment or traffic changes","Requires VERCEL_ACCESS_TOKEN (already a GitHub Secret used by sync-vercel-env.yml)","C:\ct\ct\docs\runbooks\rollback.md Step 1"
"ROLLBACK","95","Step 2 - execute the rollback (owner confirmation required)","vercel rollback <candidate-url-from-step-1> --token=$VERCEL_ACCESS_TOKEN --yes","Vercel Instant Rollback re-promotes that deployment to production with no new build and no new commit","This is real user-facing traffic; AGENTS.md Rule 7(e) requires the owner's explicit confirmation. The traffic-flipping half has never actually been executed against production","C:\ct\ct\docs\runbooks\rollback.md Step 2"
"ROLLBACK","96","Step 3 - verify the rollback three ways","(a) vercel rollback status veridian-compliance-ai --token=$VERCEL_ACCESS_TOKEN ; (b) query deployment_events for a new deployment.succeeded row with target='production' matching the rolled-back id ; (c) GET /api/health","(a) no longer 'in progress'; (b) row present; (c) app serving","deployment_events is written by src/app/api/webhooks/vercel-deployment/route.ts, which fails closed without VERCEL_DEPLOYMENT_WEBHOOK_SECRET - so (b) can be silently empty","C:\ct\ct\docs\runbooks\rollback.md Step 3"
"ROLLBACK","97","Step 4 - roll forward again once fixed","Either push to main as usual (a fresh deployment supersedes the rolled-back one), or vercel rollback <the-deployment-you-rolled-back-from> --token=$VERCEL_ACCESS_TOKEN --yes","Production restored","The fix still goes through the normal PR/CI gate first (Rule 6)","C:\ct\ct\docs\runbooks\rollback.md Step 4"
"ROLLBACK","98","Rollback decision tree - case A: application code only","Vercel dashboard -> Deployments -> previous good deployment -> Promote to Production, or the CLI in step 95","Instant, does not touch the DB","Prefer this first - it is the fastest and least destructive lever that actually exists here","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §4"
"ROLLBACK","99","Rollback decision tree - case B: a non-additive migration is already applied to production","Run node C:\ct\ct\scripts\check-migration-reversibility.mjs; if a down-migration exists, read its header for failure/data-loss conditions, verify they do not apply, then apply it deliberately","Schema restored to the prior shape","If no down-migration exists, there is NO dedicated rollback service to fall back on - write one, or accept a forward-fix migration instead","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §4"
"ROLLBACK","100","Rollback ordering rule","Roll back the CODE first, the SCHEMA second (if at all)","App and schema end in a consistent state","A schema rollback while new code is still deployed breaks the new code rather than fixing anything","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §4"
"ROLLBACK","101","Record the rollback","Note it in the incident's own PR/commit, or in ai-os/boss/COMPLETED.yaml per AGENTS.md Rule 7(d) if it closed a tracked task","What was rolled back, why, and any data loss explicitly accepted","-","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §4"
"ROLLBACK","102","Known rollback gaps - state them, do not assume coverage","-","No automated rollback trigger (always a deliberate human/agent decision, never automatic on error rate or health-check failure); rollback restores the application BUILD only, never a database migration; Drizzle migrations are forward-only by convention","3 old non-additive migrations (0005, 0117, 0196) have no down-migration and rely on 'that era's schema rollback is not a realistic operation' as their safety argument","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §5; C:\ct\ct\docs\runbooks\rollback.md 'Honest limitations'"
"BACKUP-RESTORE","103","Know the honest starting position on disaster recovery","-","No point-in-time DB restore drill has ever been exercised. Supabase offers PITR on paid tiers but this platform has not documented or tested using it","The it-dr module and 0078_wave92_fraud_cases_it_disaster_recovery.sql are a CUSTOMER-FACING GRC feature for tenants to track their own DR posture - they are not this platform's own DR practice","C:\ct\ct\docs\ROLLBACK_RUNBOOK.md §5; C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §6"
"BACKUP-RESTORE","104","The one real backup that HAS been performed - use it as the procedure of record","R75 Phase 0 (Z0-02/Z0-03), migrations C:\ct\ct\drizzle\0562 through 0568","A full pg_dump of the compliance+platform schemas as role app_runtime; first attempt 49,771,517 bytes","These 7 files are NOT in drizzle/meta/_journal.json - they are hand-apply-only and will never be run by db:migrate","C:\ct\ct\drizzle\0562..0568_r75_phase0_backup_*.sql"
"BACKUP-RESTORE","105","Backup prerequisite 1 - grant SELECT on sequence OBJECTS to app_runtime","C:\ct\ct\drizzle\0562_r75_phase0_backup_grant_missing_sequence_select.sql (10 platform sequences) and 0563_..._remaining_sequence_select.sql (4 more)","pg_dump can capture last_value/is_called for a faithful restore","pg_dump needs SELECT on the sequence object itself, not just its owning table. Failure looks like 'permission denied for sequence cc_results_result_id_seq'","C:\ct\ct\drizzle\0562...sql; C:\ct\ct\drizzle\0563...sql"
"BACKUP-RESTORE","106","Backup prerequisite 2 - enumerate sequences with pg_catalog.pg_sequences, NOT information_schema.sequences","-","Complete list of sequences needing the grant","information_schema.sequences silently omitted 4 real sequences on this database (including the very one that was still failing). pg_sequences is the authoritative view - lesson recorded in the migration itself","C:\ct\ct\drizzle\0563_r75_phase0_backup_grant_remaining_sequence_select.sql"
"BACKUP-RESTORE","107","Backup prerequisite 3 - fix the one missing table-level SELECT grant","GRANT SELECT ON TABLE compliance.embedding_cache TO app_runtime;","The only such gap across all 602 compliance+platform tables (checked via has_table_privilege)","Pre-existing, surfaced only because a full unrestricted dump touches every table. Follow-up needed: any app path reading embedding_cache as app_runtime has been silently failing or falling back to an uncached path","C:\ct\ct\drizzle\0565_r75_phase0_backup_grant_embedding_cache_select.sql"
"BACKUP-RESTORE","108","Backup step - temporarily grant BYPASSRLS to app_runtime, dump, then REVOKE immediately","ALTER ROLE app_runtime BYPASSRLS;  (0564, and again as 0567 for the retry)  ->  run pg_dump  ->  ALTER ROLE app_runtime NOBYPASSRLS;  (0566, 0568)","A dump that reads a true superset of rows","600 of 602 tables have RLS enabled, most with FORCE ROW LEVEL SECURITY; without BYPASSRLS pg_dump fails with 'query would be affected by row-level security policy'. This is a DELIBERATE, TEMPORARY, FULLY-REVERSED escalation - verify pg_roles.rolbypassrls after both the grant and the revoke, and never treat it as a template for routine privilege","C:\ct\ct\drizzle\0564...sql; 0566...sql; 0567...sql; 0568...sql"
"BACKUP-RESTORE","109","Justification gate for step 108 - check it still holds before repeating","-","It was justified specifically because Vercel production was paused and there were zero real customers (R75 Part B), so no live request could be improperly affected in the window","If real traffic exists, this procedure is NOT safe as written and needs a different approach (e.g. a Supabase-managed backup rather than an app-role pg_dump)","C:\ct\ct\drizzle\0564_r75_phase0_backup_temp_bypassrls_grant.sql"
"BACKUP-RESTORE","110","Dump FORMAT - use pg_dump custom format (-Fc), never plain SQL","pg_dump -Fc ...   restore with pg_restore","A binary TOC-based archive with none of plain SQL's COPY-framing fragility","PROVEN FAILURE: the first plain-SQL dump was unrestorable via psql -f on the Windows verification server. A pg_dump 17.x \restrict/\unrestrict sentinel plus a COPY-block desync (triggered when pgvector-typed CREATE TABLEs failed on a build without pgvector) corrupted psql's line parsing, leaving unrelated healthy tables such as platform.sumeet_requirements restored with 0 rows despite their data being intact in the dump file","C:\ct\ct\drizzle\0567_r75_phase0_backup_temp_bypassrls_grant_2.sql"
"BACKUP-RESTORE","111","Restore prerequisite - install pgvector on the restore target before restoring","-","pgvector-typed tables restore instead of failing","On a PostgreSQL build without pgvector, those CREATE TABLE statements fail; with plain-SQL format that also cascades into the COPY desync above. Reference: C:\ct\ct\supabase\migrations\create_pgvector.sql","C:\ct\ct\drizzle\0567_r75_phase0_backup_temp_bypassrls_grant_2.sql; C:\ct\ct\supabase\migrations\create_pgvector.sql"
"BACKUP-RESTORE","112","Verify a restore by row counts, not by exit code","Compare row counts for known-populated tables (e.g. platform.sumeet_requirements) between source and restored DB","Counts match","The failed plain-SQL restore reported no fatal error yet left large stretches of tables at 0 rows - an exit code is not evidence of a good restore","C:\ct\ct\drizzle\0567_r75_phase0_backup_temp_bypassrls_grant_2.sql"
"BACKUP-RESTORE","113","Schema-level export path for the platform compartment","pg_dump --schema=platform","The platform schema was deliberately created as a compartment so a future split into its own physical Supabase project is a clean schema-level export","Postgres FKs cannot cross databases: platform tables' FKs to compliance.organisations/compliance.users are real constraints today and would have to become application-level checks in a genuine split","C:\ct\ct\drizzle\0245_create_platform_schema_compartment.sql"
"BACKUP-RESTORE","114","Rebuild-from-empty check (the closest thing to a restore rehearsal in CI)","bun run check:migration-replay  ->  node C:\ct\ct\scripts\replay-migrations-from-empty.mjs","Replays the migration set against an empty database","CI job 'Migration Replay From Empty (E-103, report-only)' - report-only, does not block a merge. E-103 (no DR path) is a known open item","C:\ct\ct\package.json; C:\ct\ct\.github\workflows\ci.yml"
"INCIDENT","115","Know the real roles before an incident starts","Owner = Rajat Agarwal (raajat.agarwal@gmail.com), the only human and sole approver for anything irreversible; Super Boss = an interactive Claude Code/Desktop session the owner drives; secondary agents = headless, triggered via repository_dispatch (zai-task / claude-task)","Fastest real response is the owner working an interactive Super Boss session directly","There is no ops team, no on-call rotation and no paging service wired anywhere. Dispatching a headless agent is right for the follow-up fix PR, not for immediate mitigation","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §1"
"INCIDENT","116","Classify: what counts as Sev-1 here","Site-wide outage; database unreachable or corrupted; confirmed cross-tenant data exposure; leaked secret in a merged commit; auth bypass on a route that should require requireAuth()/requireAuthOrApiKey()","Section 4 response levers start immediately","Treat any CREDIBLE report of cross-tenant exposure as Sev-1 until disproven - do not wait for confirmation","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §2"
"INCIDENT","117","Detection method that is guaranteed to work","Query compliance.application_errors directly (via Supabase MCP or dashboard); table added by drizzle/0119_wave137_application_errors_table.sql","Server errors captured regardless of Sentry's config state","Sentry may be installed but not configured; the metric-alerts cron only produces in-app notifications; the AI escalation ladder tops out at Super Boss (an AI role) and never notifies the owner","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §3"
"INCIDENT","118","Response lever 1 - roll back (fastest)","See ROLLBACK steps 94-97","Production restored without a new commit or PR","-","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §4"
"INCIDENT","119","Response lever 2 - rotate a leaked/compromised secret","Rotate at the provider (Supabase/Groq/OpenRouter/etc.) -> update the GitHub Secret -> run the 'Sync Env Vars to Vercel' workflow (C:\ct\ct\.github\workflows\sync-vercel-env.yml, workflow_dispatch) to push the new value and trigger a redeploy","New value live in Vercel","That workflow currently only names GROQ_API_KEY explicitly - extend it inline for whichever secret is being rotated, following its existing curl pattern","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §4"
"INCIDENT","120","Response lever 3 - database-layer investigation","Supabase MCP get_advisors / query_logs / execute_sql, or the Supabase dashboard","Connection health, RLS policy state, recent query errors","For a suspected cross-tenant RLS gap, check FORCE ROW LEVEL SECURITY status on the affected tables FIRST - the exact class closed by 0179_rls_gap_fix_7_tables.sql and 0116_wave134_force_rls_all_tables.sql","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §4"
"INCIDENT","121","Response lever 5 - communicate","COMPANY.contactEmail in C:\ct\ct\src\components\LegalShell.tsx (raajat.agarwal@gmail.com)","Owner is the contact point","There is no status page and no customer notification automation. That email is the only address anywhere in the codebase that customers are told to write to","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §4 and §6"
"INCIDENT","122","Post-incident - write a dated retrospective in docs/","Existing convention: C:\ct\ct\docs\master\AUDIT_2026-07-09.md, C:\ct\ct\docs\master\GAP_CLOSURE_LOG.md","Record what happened, when it STARTED vs when it was DETECTED, what stopped it, and what closes the detection/response gap","The start-vs-detect gap is the number that matters most given the detection limits in step 117. If a new load-bearing secret is revealed, add it to REQUIRED_ENV_VARS; if a new RLS gap, follow the FORCE RLS migration pattern","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §5"
"INCIDENT","123","Known detection/response gaps - do not assume these are solved","-","No paging (nothing wakes the owner); no status page; Sentry's real detection value unverified; gitleaks in sentinel.yml runs with continue-on-error:true so a secret-scan hit warns but does not block a merge; no rehearsed DR drill","Each is disclosed in the runbook itself, not an oversight","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §6"
"INCIDENT","124","Precedent to read before declaring an incident novel","Header comment of C:\ct\ct\src\app\api\internal\secrets-audit\run\route.ts","Two on-the-record incidents of this class: the CRON_SECRET incident (empty secret -> every cron route silently 401'd) and the GROQ_API_KEY incident (same root pattern)","Both are the model for how a missing/misconfigured secret becomes a silent, fail-closed outage","C:\ct\ct\docs\SEV1_INCIDENT_RUNBOOK.md §2"
"ESCALATION","125","Understand that 'escalation' is 5 independent systems, not one ladder","C:\ct\ct\docs\ESCALATION_MATRIX.md","Each is named with real, grep-verified call sites; they do not talk to each other and there is no shared arbiter","Do not look for a single unifying escalation artifact - the Constitution describes one, the codebase has none","C:\ct\ct\docs\ESCALATION_MATRIX.md"
"ESCALATION","126","Task-failure authority ladder","C:\ct\ct\src\lib\escalation-ladder.ts","3 rungs CSEO -> COO -> Super Boss. nextEscalationRung() is pure; claimEscalation() persists a single-owner lock + retry/timeout counter per (org, task, monitor) in monitor_task_state","Rejects as already_owned_by_other_agent (unless stale past timeoutMs) or retry_exhausted at maxRetry - no infinite retry, no infinite escalation. Level 5 (the Owner) is human and outside this module's reach","C:\ct\ct\docs\ESCALATION_MATRIX.md §1"
"ESCALATION","127","Per-call model escalation (a different mechanism entirely)","C:\ct\ct\src\lib\floor-tier-escalation.ts","Deterministic regex-based bump from the floor-tier model to a stronger one for ONE call. Pre-call: re-ask/correction, high-impact action, prior task failure, NOVEL classification with no approved package. Post-call: a hedging reply","Routes to no different role and persists no state - the caller swaps to escalatedPlatformConfig() and re-runs the same call. Reserved for floor-tier calls; never overrides an org's own BYO model","C:\ct\ct\docs\ESCALATION_MATRIX.md §2"
"MODEL-ROUTING","128","Change a production model WITHOUT a deploy","Update the active row in platform.ai_model_registry; resolved first by C:\ct\ct\src\lib\orchestra-model-resolver.ts (lines 21-34)","A DB row change takes effect live","Hardcoded literals in orchestra-model-resolver.ts are used only when the registry lookup errors or has no active row for that role","C:\ct\ct\docs\MODEL_SELECTION.md Part 1a"
"MODEL-ROUTING","129","Know the four named roles and their live values (as live-queried 2026-08-25)","platform_default = groq / openai/gpt-oss-120b; platform_fallback = openrouter / meta-llama/llama-3.3-70b-instruct:free; cerebras_failover = cerebras / gpt-oss-120b; escalated_default = openrouter / z-ai/glm-5.2 (pinned to provider DeepInfra)","Most-specific-scope-wins resolution: personal -> client -> org -> platform default","Every row's updated_at was 2026-07-19, ~5 weeks before that doc; the registry is deliberately rarely touched, so re-query before citing it as current. Groq's free tier has a load-test-confirmed 200K-tokens/day cap, which is what cerebras_failover exists for","C:\ct\ct\docs\MODEL_SELECTION.md Part 1a"
"MODEL-ROUTING","130","Know why the internal AI Dev Team roster is on GLM-5.2","C:\ct\ct\src\lib\ai-team\roster.ts (lines 15-33)","~30-role org chart; 9 judgment-critical roles were moved off Claude Sonnet 5 to z-ai/glm-5.2 by explicit founder decision","Trigger was real OpenRouter billing data: Claude Sonnet 5 was $11.44 of $12.34 total spend (93%) from 3 dispatches, caused by a conversation-history-growth cost bug in scripts/ai-workforce-agent.mjs","C:\ct\ct\docs\MODEL_SELECTION.md Part 1b"
"MODEL-ROUTING","131","Do not expect a record of which Claude CLI model ran which work-order phase","C:\ct\ct\docs\MODEL_SELECTION.md Part 2","Honestly reported as not trackable from any real artifact found","UNKNOWN by design of the record, not fabricated","C:\ct\ct\docs\MODEL_SELECTION.md Part 2"
"API-RATE-LIMITS","132","Understand the API-key rate limiter before debugging a 429","Enforced by validateApiKey() in C:\ct\ct\src\lib\supabase\api-key-auth.ts; covers every Authorization: Bearer vk_... request to /api/v1/** and /api/mcp","Fixed 60-second rolling window (RATE_LIMIT_WINDOW_SECONDS), counted per individual API key by counting that key's rows in api_key_request_log from the last 60 s","Session-cookie-authenticated (app) UI requests are NOT subject to this per-key limiter","C:\ct\ct\docs\API_RATE_LIMITS.md"
"API-RATE-LIMITS","133","Know the default and how to set a cap","Default (unset/blank) = UNLIMITED for every newly generated key. PATCH /api/settings/api-keys/{id} with {""rateLimitPerMinute"": 120}; pass null to clear","Over the limit: rejected before the route handler with 429 Too Many Requests and Retry-After: 60 (distinct from the 401 an invalid/missing key gets)","There is no Free/Pro/Enterprise tier ladder. Zero, negative numbers and non-integers all return 400. Every request is logged whether allowed or limited, feeding Settings -> API Keys -> Usage (GET /api/settings/api-keys/usage)","C:\ct\ct\docs\API_RATE_LIMITS.md"
"TENANCY","134","Know the two-role RLS mechanism before writing any query or migration","postgres (Drizzle's default, rolbypassrls=true, RLS-blind, only for pre-tenant-context operations such as new-org signup) vs app_runtime (NOSUPERUSER NOBYPASSRLS, a separate APP_RUNTIME_DATABASE_URL connection) - see C:\ct\ct\src\lib\db\tenant-scoped.ts","withTenantContext() wraps a request in a transaction that SELECT set_config('app.current_org_id', ..., true)s the org/client/user GUCs; policies read compliance.current_org_id(), NOT auth.uid(), because Drizzle's raw connection carries no Supabase JWT","Historic bug (Waves 1-7): SET LOCAL app.current_org_id = $1 used a bind parameter, which SET LOCAL does not support - 42601 on every call. Fixed in Wave 7 by switching to set_config(). Do NOT re-flag it as open","C:\ct\ct\docs\master\ARCHITECTURE.md §8; C:\ct\ct\docs\master\MODULE_MAP.md"
"TENANCY","135","Every new org-scoped table ships its RLS pair in the SAME migration as the table","Policies app_runtime_org_scoped and service_role_bypass_<table>; verbatim SQL template in C:\ct\ct\MASTER_AI_OS_ARCHITECTURE.md","Table is tenant-safe from creation","ENFORCED BY DISCIPLINE ONLY - there is no automated CI check. Running Supabase get_advisors after every migration is the current catch mechanism, and it is manual-trigger","C:\ct\ct\docs\master\ARCHITECTURE.md §2 rule 3"
"TENANCY","136","When auditing whether a module is live, check BOTH the code and the enablement row","platform.product_branches (global catalog, migration-only writes) x orgProductBranchEnablements (per-org on/off, default false except core modules)","Code that exists but is enabled for 0 orgs is not the same as code live for everyone","Core GRC modules are always on; pms, erp, veri_reward, veri_chat_v2, the_firm, facilities_management are opt-in per org","C:\ct\ct\docs\master\MODULE_MAP.md"
