"Subsystem","File_Path","Exported_Entry_Points","Input","Output","What_It_Does","Live_Or_Dead","Model_Or_Provider","Invoked_From"
"monitors","C:\ct\ct\src\lib\monitors\dispatch-completion-monitor.ts","DISPATCH_COMPLETION_MONITOR_NAME, DISPATCH_COMPLETION_PROMPT_KEY, describeStuckDispatch(), runDispatchCompletionMonitor(), runDispatchCompletionSweep()","listStuckActivities() rows - activity_log left in a non-terminal lifecycle_stage by /api/ai/team/dispatch","DispatchCompletionMonitorResult / SweepResult; classification + escalation","The first Tier-3 model-backed monitor: classifies why an AI Dev Team dispatch is stuck","LIVE - imported by app\api\internal\dispatch-completion-monitor\run\route.ts and app\api\ai\team\monitor\dispatch-completion\route.ts","OpenRouter via callLLMJson(); model from resolvePlatformModelConfig(""meta_oa"") (GPT-OSS-120B-backed tier); prompt key monitor.dispatch_completion_classification","Vercel cron GET /api/internal/dispatch-completion-monitor/run (30 8 * * *); also GET|POST /api/ai/team/monitor/dispatch-completion"
"ai-team","C:\ct\ct\src\lib\ai-team\roster.ts","AI_TEAM_ROSTER, getRole(), rolesForTeam(), allGuardrailRoles(), allAuditOrganizationRoles(), isAuditOrganizationRole(), rolesByEscalationLevel(), operationalRoles(); types TeamName, RoleDefinition","roleKey / team name / escalation level","RoleDefinition[] with model, promptKey, isHuman, isCodeOnly, escalationLevel","The platform's own ~198-entry internal AI company org chart (roleKey/team/title/model/promptKey), distinct from customer-facing Orchestra layers","LIVE - 11 prod importers incl. app\api\ai\team\dispatch\route.ts, mother-router.ts, escalation-ladder.ts, model-scorecard-service.ts","All via OpenRouter (OPENROUTER_API_KEY). Slugs: z-ai/glm-5.2 (primary), z-ai/glm-5v-turbo (vision), z-ai/glm-5-turbo (bulk), google/gemini-2.5-pro (research), deepseek/deepseek-v4-pro (governance), openai/gpt-oss-120b (tool integration). 3 human roles model:null","POST /api/ai/team/dispatch (components\AiTeamRosterSection.tsx); GET /api/ai/team/dispatch returns the roster"
"ai-team","C:\ct\ct\src\lib\ai-team\team-service.ts","runRole(), classifyTask(), runGuardrailLevel(), class RoleNotCallableError; re-exports AI_TEAM_ROSTER, getRole; types TenantAiOverride, ClassificationResult, GuardrailVerdict","roleKey + TightTask + optional tenant BYO AI config","LLMResult & {role, duplicateWarning, modelVariant}; ClassificationResult {role, reasoning, confidence}","Execution layer for every LLM-backed roster role: resolve the prompt-OS template, apply cost policy, call OpenRouter, log token usage and dispatch outcome","LIVE - imported by app\api\ai\team\dispatch\route.ts, advisory-dispatch-service.ts, capability-audit-service.ts","OpenRouter (platform key), model = tenant BYO ?? DB override/rollout ?? role.model; prompts from resolvePromptTemplate()","POST /api/ai/team/dispatch; /api/internal/capability-audit/run"
"ai-team","C:\ct\ct\src\lib\ai-team\roster-overrides.ts","isKnownModel(), knownModels(), resolveEffectiveModel(), resolveDispatchModel(), setRoleRollout(), clearRoleRollout(), setRoleOverride(), clearRoleOverride(), listRosterWithOverrides()","roleKey, complexityTier, candidate model, rollout percentage","ModelResolution {model, variant primary|candidate}; RosterRowWithOverride[]","Admin-editable model resolution layer over the static roster (ai_team_role_overrides table), including percentage rollouts of candidate models","LIVE - imported by app\api\ai\team\dispatch\route.ts, app\api\ai\team\roster\overrides\route.ts, team-service.ts, dispatch-repo.ts","OpenRouter model slugs (validated against knownModels())","POST/PATCH /api/ai/team/dispatch; GET /api/ai/team/roster/overrides (components\AiTeamRosterSection.tsx)"
"ai-team","C:\ct\ct\src\lib\ai-team\cost-policy.ts","checkCostPolicy(model, usage), checkOpenRouterBalance(); types CostPolicyDecision, BalancePolicyDecision","model slug + LLMUsage tokens; OpenRouter account state","CostPolicyDecision / BalancePolicyDecision (allow/deny + reason)","The one roster role that is isCodeOnly:true - deterministic budget/rate checks in code, reusing estimateCostUsd() from llm-client.ts","LIVE - imported by lib\ai-team\team-service.ts","Reads OpenRouter balance API; makes no model call","team-service.ts <- POST /api/ai/team/dispatch"
"ai-team","C:\ct\ct\src\lib\ai-team\dispatch-outcomes.ts","fingerprintDispatchRequest(), recordDispatchOutcome(), checkForDuplicateDispatch(); types DispatchPath, DispatchStatus, DispatchRequest","DispatchRequest (role, objective, path advisory|repo_write) + result","persisted dispatch outcome row; DuplicateDispatchWarning | NoDuplicateDispatch","Persistent memory for AI Dev Team dispatches - what a dispatch produced and whether the same work was already attempted","LIVE - imported by team-service.ts and dispatch-repo.ts","None","team-service.ts <- POST /api/ai/team/dispatch"
"ai-team","C:\ct\ct\src\lib\ai-team\advisory-dispatch-service.ts","dispatchAdvisoryTask(roleKey, task); type AdvisoryDispatchResult","roleKey + TightTask","AdvisoryDispatchResult (advisory answer, no repo write)","The advisory (no file access) dispatch path chosen over dispatch-repo.ts's PAT-gated repository_dispatch, because GITHUB_DISPATCH_PAT was never configured on Vercel","LIVE - imported by lib\services\capability-audit-service.ts","OpenRouter via team-service.ts runRole()","capability-audit-service.ts <- Vercel cron GET /api/internal/capability-audit/run (0 9 * * *)"
"ai-team","C:\ct\ct\src\lib\ai-team\agent-directory-service.ts","refreshAgentDirectory(roleKey)","roleKey + that role's dispatch history","updated per-agent directory row (success rate, avg time, failures, common errors, latest prompt version)","Permanent per-AI-agent directory for AI Dev Team roles (worker_agent logs covered Worker Agents only)","LIVE - imported by lib\activity-log-service.ts","None (aggregation)","activity-log-service.ts, reached from dispatch-completion-monitor and /api/ai/team/* activity writes"
"ai-team","C:\ct\ct\src\lib\ai-team\dispatch-repo.ts","dispatchRepoTask(roleKey, task)","roleKey + TightTask","fires GitHub repository_dispatch 'ai-team-task' event -> ai-team-workforce.yml opens a PR","The repo-write dispatch path via GitHub Actions and scripts/ai-workforce-agent.mjs","DEAD - 0 importers, prod or test. advisory-dispatch-service.ts's own header records that capability-audit-service.ts was deliberately switched OFF this path because GITHUB_DISPATCH_PAT was never configured on Vercel","GitHub PAT (GITHUB_DISPATCH_PAT, never configured) -> the workflow's own OpenRouter models","Nothing"
"ai","C:\ct\ct\src\lib\ai\adapter.ts","getAiProvider(), assertAiProviderAllowed(userId), class AiProviderRefusalError, interface AiProvider; types ClassificationResult, Artifact, ClassifyContext","AI_PROVIDER env var; acting userId","the selected AiProvider instance, or throws AiProviderRefusalError","THE one narrow interface pipeline Levels 1-2 must go through (classify + analyse only, no streaming, no tool loops). Provider is an env var, never a caller-chosen code branch, and claude-cli is refused for any user other than RAJAT_USER_ID","LIVE - imported by pipeline\level1.ts, pipeline\run-submission.ts, ai\batch\analyse.ts and both providers","AI_PROVIDER = claude-cli (default, local only) | openrouter","POST /api/v1/projexa/tasks -> run-submission.ts -> level1.ts"
"ai","C:\ct\ct\src\lib\ai\providers\openrouter.ts","openrouterProvider (AiProvider impl: classify, analyse)","segments[], candidateFunctions[], ClassifyContext; L2 batch input","ClassificationResult[]; Artifact[]","The deployable provider: one batched OpenRouter call for ALL unresolved segments, with strict-JSON L1 and L2 system prompts that forbid inventing function ids, arithmetic, DB writes and prose","LIVE at runtime via lazy require(""./providers/openrouter"") in adapter.ts getAiProvider() - a static import graph shows 0 importers, which is why it must not be read as dead","OpenRouter (OPENROUTER_API_KEY) via lib\llm-client.ts callLLMJson; model from resolvePipelineModel(); fallbacks deepseek/deepseek-chat (L1) and deepseek/deepseek-chat-v3.1 (L2), overridable by AI_L1_MODEL/AI_L2_MODEL","adapter.ts getAiProvider() when AI_PROVIDER=openrouter"
"ai","C:\ct\ct\src\lib\ai\providers\claude-cli.ts","claudeCliProvider (AiProvider impl)","same AiProvider inputs; prompt fed on stdin","ClassificationResult[]; Artifact[]","Local-dev-only provider that shells out to the `claude -p` binary (spawn with shell:true to survive the Windows claude.cmd PATHEXT bug); 60s timeout; throws honestly if the binary is absent","LIVE at runtime via lazy require(""./providers/claude-cli"") in adapter.ts getAiProvider() (the default when AI_PROVIDER is unset) - static graph shows 0 importers","Anthropic Claude Code CLI on the local machine under the owner's own subscription; not available on Vercel","adapter.ts getAiProvider() when AI_PROVIDER=claude-cli"
"ai","C:\ct\ct\src\lib\ai\level-model-registry.ts","resolvePipelineModel(role, fallbackModel), invalidatePipelineModelCache(); type PipelineLevelRole","""pipeline_l1"" | ""pipeline_l2"" + fallback slug","the owner-configured model slug","Owner-editable platform.pipeline_level_models row, hot-reloaded within ~60s so L1/L2 models change with no redeploy","LIVE at runtime - its only importer is providers\openrouter.ts, which adapter.ts loads via require(); DEAD in the static graph only","Returns OpenRouter model slugs","providers\openrouter.ts <- adapter.ts <- pipeline level1/L2 batch"
"ai","C:\ct\ct\src\lib\ai\refusal.ts","NO_COMMENTARY_SENTENCE","n/a","the single approved refusal sentence","The one sentence a model refusal is allowed to say, so a refusal is never a dead end when the DB can still answer","LIVE - imported by lib\ai\adapter.ts and lib\pipeline\dry-run.ts","None","adapter.ts / dry-run.ts, reached from POST /api/v1/projexa/tasks"
"ai","C:\ct\ct\src\lib\ai\batch\analyse.ts","FORBIDDEN_SQL_PATTERN, findEmbeddedSql(), toReportDefinitionInput(), clusterGaps(), runL2Batch(), promotePhraseMapCandidate(); type L2BatchResult","last 24h of gap_log rows","L2BatchResult: phrase_map candidates, report definitions, capability gaps; promoted phrase_map rows","The L2 nightly batch and phrase_map promotion loop - never in-request. Rejects any artifact carrying non-SELECT SQL; only proposes a phrase for a cluster with frequency >= 3","LIVE - imported by app\api\internal\l2-phrase-promotion\run\route.ts and app\api\v1\projexa\phrase-map\[id]\promote\route.ts","Through adapter.ts's analyse() - OpenRouter L2 model (deepseek/deepseek-chat-v3.1 fallback) or claude-cli locally","Vercel cron GET /api/internal/l2-phrase-promotion/run (30 10 * * *); POST /api/v1/projexa/phrase-map/[id]/promote"
"ai-router","C:\ct\ct\src\lib\ai-router\mother-router.ts","resolveModel(), callLLMWithSupervision(), resolveTenantAiConfig(), getOrgAiPackage(), recordMotherRouterOutcome(), rollbackPolicy(), invalidateMotherRouterCache(), computeSoftwareTeamResolution/EndUserOrg/SalesMarketing/CustomerSuccess()","MotherRouterContext (scope software_team|end_user_org|sales_marketing|customer_success, role, complexity tier, orgId)","MotherRouterResolution {provider, model, resolvedConfig, tierEligibility} + ai_routing_audit_log row","The unifying AI model/provider registry, versioned routing policy and audit log across 4 scopes; tenant BYO models are preferred but still pass the same checkTierEligibility gate","LIVE - imported by app\api\ai\orchestrate\route.ts, app\api\ai\team\dispatch\route.ts, lib\task-execution-engine.ts, lib\loops\instruction-mismatch-audit.ts","ROSTER_PROVIDER is hardcoded 'openrouter'; models come from roster.ts / policy overrides / tenant_ai_config; executes via llm-client.ts callLLM","POST /api/ai/orchestrate, POST /api/ai/team/dispatch, task-execution-engine.ts, /api/internal/instruction-audit/run"
"ai-router","C:\ct\ct\src\lib\ai-router\software-team-ladder.ts","SOFTWARE_TEAM_LEVELS, DISPATCHABLE_SOFTWARE_TEAM_LEVELS, SOFTWARE_TEAM_LADDER, COMPLEXITY_TIER_FOR_CATEGORY, getLevelContract(), complexityTierForLevel(), capabilityCategoryForLevel(), levelEscalatesOnConfidenceThreshold(), validateLevelDispatch()","SoftwareTeamLevel L0-L5 + ComplexityTier","LevelContract; LevelDispatchValidation","The Owner's L0-L5 Software Team execution ladder: L0 maps to the existing deterministic software path, L1-L4 are dispatchable, with per-level complexity-tier and capability-category contracts","LIVE - imported by app\api\ai\team\dispatch\route.ts, mother-router.ts, instruction-contract.ts, task-register-service.ts","Constrains which model tier a level may use; makes no model call","POST /api/ai/team/dispatch (opt-in softwareTeamLevel field)"
"ai-router","C:\ct\ct\src\lib\ai-router\instruction-contract.ts","validateInstructionContract(), validateExecutionReport(), taskTypeForStepCount(), WORKER_ESCALATION_CONFIDENCE_THRESHOLD (95); types InstructionContract, ExecutionReport, ExecutionStep, TaskType","partial InstructionContract / ExecutionReport","validation result (ok or field errors); TaskType from step count","The pre-execution input / post-execution output JSON schema for L1-L4 worker dispatches; distinct from task-tightening.ts's TightTask","LIVE - imported by app\api\ai\team\dispatch\route.ts and task-register-service.ts","None (schema validation)","POST /api/ai/team/dispatch"
"ai-router","C:\ct\ct\src\lib\ai-router\task-register-service.ts","registerInstructionContract(), recordExecutionReport(), getTaskRecord(); types TaskRegisterStatus, RecordExecutionReportResult","InstructionContract; per-step ExecutionReport + expected step count","platform.task_register rows; RecordExecutionReportResult (status in_progress|completed|failed|escalated)","DB-backed persistence of the Instruction Contract / Execution Report pair per task, distinct from mother-router's model-routing audit log","LIVE - imported by app\api\ai\team\dispatch\route.ts","None","POST /api/ai/team/dispatch"
"ai-router","C:\ct\ct\src\lib\ai-router\escalation-tier-catalog.ts","AI_ESCALATION_TIERS, PERCEPTION_MODELS, PERCEPTION_VISION_FALLBACK, REASONING_MODELS, AUTHORITY_PRODUCTION_MODEL, getEscalationModelsForTier(); types AiEscalationTier, EscalationModelSpec","tier PERCEPTION|REASONING|AUTHORITY","EscalationModelSpec[]","R65 Part D Phase 1 mapping table only. Its own header states it deliberately does NOT wire into resolveModel() or any live dispatch site - that is deferred to a Phase 6 gated on owner sign-off","DEAD - 0 prod importers (only escalation-tier-catalog.test.ts), exactly as its header intends","Catalogs OpenRouter slugs verified 2026-09-01: deepseek/deepseek-v4-flash-0731, z-ai/glm-5.3-flash, z-ai/glm-5v-turbo, deepseek/deepseek-v4-pro-0813, z-ai/glm-5.2, anthropic/claude-sonnet-5","Nothing"
"pipeline","C:\ct\ct\src\lib\pipeline\run-submission.ts","runSubmission(), runDirectTask(), proposeSubmission(), submitForVerdict(), confirmSubmission(), makeDryRunDeps(), buildValidationContext(), statusForFailure(), buildTaskResultMemoryContent(); re-exports dryRunSubmission, NO_COMMENTARY_SENTENCE","RunSubmissionInput {rawText, orgId, userId, projectId}","RunSubmissionResult / SubmitVerdictResult / ConfirmSubmissionOutcome with per-task outcomes","The main submission pipeline, synchronous only: segment (pure) -> classifyL0 per segment (deterministic, $0) -> ONE batched Level 1 AI call for the misses -> validate -> execute","LIVE - imported by app\api\v1\projexa\tasks\route.ts, submissions\route.ts, assistant\route.ts, app\api\mcp\[token]\route.ts, lib\ai\batch\analyse.ts","Level 1 only, through lib\ai\adapter.ts (OpenRouter or claude-cli). Levels 0/2/4 make no model call","POST /api/v1/projexa/tasks (PROJEXA thin proxy calls this VERIDIAN endpoint), /api/v1/projexa/submissions, /api/v1/projexa/assistant, POST /api/mcp/[token]"
"pipeline","C:\ct\ct\src\lib\pipeline\segment.ts","segment(input), rejoinCandidate(), MAX_SEGMENTS (5), KNOWN_VERBS; types Segment, SegmentResult","one raw submission string","SegmentResult (up to 5 segments)","Pure function that splits one message into independently classifiable segments; no DB, no model, no UI concern","LIVE - imported by classify.ts, classify-only.ts, dry-run.ts, run-submission.ts","None (pure)","POST /api/v1/projexa/tasks and /api/v1/projexa/classify"
"pipeline","C:\ct\ct\src\lib\pipeline\classify.ts","classifySegment(), classifySubmission(), normaliseForMatch(), isAcknowledgement(), isQuestion(), isImperative(); types SegmentVerdict, ResolutionSource, Classification","one segment + resolution context","Classification with verdict task|chat|gap and ResolutionSource (phrase_map|structural|last_action|level1|reuse_cache)","THE per-segment verdict. Exists to kill the defect where one message produced exactly one verdict and silently dropped the rest","LIVE - 7 prod importers incl. run-submission.ts, level0.ts, level1.ts, reuse-cache.ts","None (deterministic)","POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\level0.ts","classifyL0(), tryTimesheetMatch(); types L0Repo, ClassificationResult","segment text + L0Repo (phrase_map, structural, last_action lookups)","ClassificationResult or a miss that escalates to L1","The L0 ladder: entirely deterministic software, $0 per call. A miss escalates to L1, never resolved by guessing","LIVE - imported by run-submission.ts, classify-only.ts, dry-run.ts, repos.ts","None ($0 by design)","POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\level1.ts","runLevel1(texts, ctx), loadValidItemCodes(), MIN_CONFIDENCE (0.8); types Level1Context, Level1Outcome","the L0-miss segment texts + candidate functions + valid ids","Level1Outcome (one function selection with params per segment)","The ONLY place in this pipeline that talks to a model: one sentence -> one function selection with parameters, nothing else. May never do arithmetic, invent a function id, write to the DB, return prose or guess a missing value","LIVE - imported by reuse-cache.ts and classify-only.ts","Via lib\ai\adapter.ts: OpenRouter (header names DeepSeek V4 Flash as the M26 target; resolved live via resolvePipelineModel) or claude-cli locally","reuse-cache.ts <- run-submission.ts <- POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\reuse-cache.ts","computeReuseCacheKey(), resolveMissesWithReuseCache(); types ReuseCacheRepo, ReuseCacheOutcome","L0-miss texts + projectId","Level1Outcome augmented with cache hits","Wires the previously unused compliance.reuse_cache table into the L0-miss -> Level-1(AI) boundary so identical completed work never pays for a model call again","LIVE - imported by run-submission.ts, dry-run.ts, repos.ts","Gates the Level 1 model call; makes none itself","run-submission.ts <- POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\validate.ts","validate(candidate, ctx); types ValidationCandidate, ValidationContext, ValidationResult","classifier output + validation context (valid ids, project scope)","ValidationSuccess {params} | ValidationFailure (a PipelineFailure)","The gate every L0/L1 output must pass before a task is created. A candidate that fails validation is a FAIL, never a lower-confidence suggestion","LIVE - imported by run-submission.ts and lib\services\chain-options-service.ts","None","POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\executor.ts","executeTask(), hasExecutor(), functionWrites(), matchIssues(), EXECUTABLE_FUNCTION_IDS; types ExecutionOutcome, ExecutableTask","validated task {functionId, params}","ExecutionOutcome against a real backing action","A small registry (not a framework) mapping function ids to the real implementations that exist today; anything else fails honestly","LIVE - imported by run-submission.ts, classify-only.ts, dry-run.ts, repos.ts","None","POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\function-registry.ts","functionSpec(), functionLabel(), functionKind(), requiredParamSatisfied(), WRITE_FUNCTION_IDS, FUNCTION_SPECS, ALL_FUNCTION_SPECS; types CardSchema, RequiredParam, FunctionSpec","functionId","FunctionSpec (human label, kind write|ask|run, required params, card schema)","The declarative facts a caller needs BEFORE running a function, so no surface ever prints a raw function id","LIVE - 7 prod importers incl. app\api\v1\projexa\tasks\route.ts, executor.ts, validate.ts, verdict.ts","None","POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\error-codes.ts","pipelineFailure(), codeForParam(), codeForServiceError(), normaliseThrownError(), serialiseFailure(), parseFailure(), failureFromRow(), failureLogLine(), isRetryableFailure(), revealsInternals(), PIPELINE_ERROR_CODES, FIELD_VOCABULARY, RETRYABLE_ERROR_CODES","thrown error / param name / HTTP status","PipelineFailure {code, missing[], context} - a closed vocabulary, never free text","Replaces free-text English failure sentences (which once leaked a Postgres CONNECT_TIMEOUT with an internal IP to a site engineer) with a closed error-code vocabulary","LIVE - 10 prod importers incl. app\api\v1\projexa\tasks\route.ts and app\api\mcp\[token]\route.ts","None","POST /api/v1/projexa/tasks, POST /api/mcp/[token]"
"pipeline","C:\ct\ct\src\lib\pipeline\failure-classification.ts","classifyFailure(), classifyPipelineFailure(), isSystemErrorCode(), maskInfrastructure(), looksLikeSystemText(), SYSTEM_ERROR_CODES, SYSTEM_FAILURE_MESSAGE","thrown error or stored failure code","ClassifiedFailure - is this the user's to fix, or ours","Separates user-fixable failures from system failures and masks infrastructure detail out of user-facing text","LIVE - imported by lib\pipeline\task-tabs.ts","None","task-tabs.ts <- GET /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\dry-run.ts","dryRunSubmission(), missingParamsFor(), gapAnswer(), buildRunRoute(); types DryRunProposal, DryRunResult, DryRunDeps","RunSubmissionInput + DryRunDeps","DryRunResult {dryRun:true, proposals[]} - what the system understood, before doing anything","The proposal step: say what you understood BEFORE acting, instead of minting a 'blocked' task row and explaining afterwards in prose","LIVE - imported by run-submission.ts and verdict.ts","None itself; runs the same L0/L1 resolution path","POST /api/v1/projexa/tasks (propose mode)"
"pipeline","C:\ct\ct\src\lib\pipeline\verdict.ts","toVerdict(), toVerdictResult(); types VerdictKind, SubmissionVerdict, SubmissionVerdictResult, VerdictMissing, VerdictLink","DryRunProposal / DryRunResult + submissionId","SubmissionVerdictResult rendered for the client","Converts a dry-run proposal into the submission verdict shape the UI renders (task|chat|gap, missing params, links)","LIVE - imported by run-submission.ts","None","POST /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\derive-chain.ts","buildChain(), deriveChain(); re-exports NAV_PATH_BY_FUNCTION; types ScreenFacts, ChainRepo, DerivedChain","functionId + ChainRepo screen facts","DerivedChain (navigation path/steps)","PHRASE -> FUNCTION -> CHAIN, never the reverse: takes a function id and derives the chain; the phrase is the authority, the chain is output","LIVE - imported by run-submission.ts, classify-only.ts, dry-run.ts, repos.ts, lib\services\chain-options-service.ts","None","POST /api/v1/projexa/tasks; chain-options-service.ts"
"pipeline","C:\ct\ct\src\lib\pipeline\repos.ts","makeL0Repo(), makeChainRepo(), makeReuseCacheRepo(), resolveRootLabel(), logGapRow()","orgId, userId, projectId","repo objects backing L0 / chain / reuse-cache lookups; gap_log rows","All the pipeline's DB reads in ONE place so run-submission.ts and classify-only.ts can never drift on how a phrase resolves","LIVE - imported by run-submission.ts and classify-only.ts","None","POST /api/v1/projexa/tasks; POST /api/v1/projexa/classify"
"pipeline","C:\ct\ct\src\lib\pipeline\classify-only.ts","classifyOnly(input); types ClassifyOnlyInput, ClassifiedSegmentDto, ClassifyOnlyResult","raw text + org/user/project context","ClassifyOnlyResult (segments, verdicts, derived chain) with no row minted","The read-only half of the pipeline: everything runSubmission does up to minting a row, and nothing after it","LIVE - imported by app\api\v1\projexa\classify\route.ts","Same L1 path via adapter.ts when L0 misses","POST /api/v1/projexa/classify"
"pipeline","C:\ct\ct\src\lib\pipeline\task-tabs.ts","resolveStatusFilter(), validFilterKeys(), tabCountsFrom(), PIPELINE_STATUSES, TASK_TAB_KEYS; types PipelineStatus, TaskTabKey, TaskCounts","?status query param; status count rows","StatusFilter; TaskCounts per tab","Maps PROJEXA's five Task Master tabs onto raw pipeline_task_status values so a tab asks for only its own rows","LIVE - imported by app\api\v1\projexa\tasks\route.ts","None","GET /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\task-cursor.ts","buildTaskCursor(), parseTaskCursor(), nextTaskCursor(), needsYouRank(), NEEDS_YOU_STATUSES; type TaskCursor","task row {status, createdAt, id}","opaque cursor string","Keyset pagination for Task Master, replacing a 50-row re-read that ran 590-1740ms on every navigation","LIVE - imported by app\api\v1\projexa\tasks\route.ts","None","GET /api/v1/projexa/tasks"
"pipeline","C:\ct\ct\src\lib\pipeline\phrase-seed.ts","seedPhrases(), seedSources(), seedErpCrmCompliancePhrases(); type SeedPhrase","platform.uat_function rows (100)","SeedPhrase[] for compliance.phrase_map","Seeds the phrase map so Level 0's phrase tier can hit at all (the table had 0 rows on 26 Aug 2026, so every segment paid for an L1 model call)","DEAD - 0 prod importers (only phrase-seed.test.ts). No route or script in src imports it, so the seed is not run from the app","None","Nothing in src"
"explainability","C:\ct\ct\src\lib\explainability\ai-decision-explanation.ts","explainCrmLeadDecision(), explainCrmOpportunityDecision(), explainTaskPrediction(); types AiConfidenceLevel, RejectedAlternative, AiDecisionExplanation","a CRM lead / opportunity / task prediction row carrying aiScoreReasoning + aiRiskFactors","AiDecisionExplanation {decision, why, whyNot rejected alternatives, confidence level}","Extracts the 'why' and 'why not' behind an AI decision into one reusable shape; closes five separate explainability framework findings","LIVE - 5 prod importers: app\(app)\crm\leads\[id]\page.tsx, app\(app)\crm\opportunities\[id]\page.tsx, app\api\tasks\[id]\prediction\route.ts, components\ai\AiDecisionExplanationCard.tsx, lib\services\crm-service.ts","None itself - renders reasoning produced upstream by crm-service.ts's scoreLead/analyzeOpportunity","CRM lead/opportunity detail pages, GET /api/tasks/[id]/prediction"
"workspace-memory","C:\ct\ct\src\lib\services\workspace-memory-service.ts","listWorkspaceMemoryEvents(), exportWorkspaceMemory(), importWorkspaceMemory(), getLatestExportedCapsule(), createCapsuleSignedUrl(), class ServiceError","orgId + acting userId; uploaded .mv2 capsule","memvid .mv2 capsule (own saved report definitions + own recent AI-thread dialogue), signed URL, event list","Priority 21 Layer 2 Workspace Memory: portable per-(org,user) capsule, never another user's data and never a live re-query of underlying records","LIVE - 7 prod importers, all six app\api\workspace-memory\* routes plus workspace-memory-drive-sync.ts","None - @memvid/sdk core non-AI API only (create/open/put/timeline/getFrameInfo/view/seal, kind 'basic'); no .ask(), no embeddings, no LLM calls","GET /api/workspace-memory, /latest, POST /export, /import, /drive-export, /drive-import - all from components\WorkspaceMemorySection.tsx"
"workspace-memory","C:\ct\ct\src\lib\services\workspace-memory-drive-sync.ts","requireActiveDriveConnection(), uploadCapsuleToDrive(), downloadLatestCapsuleFromDrive()","acting user's existing Composio Google Drive connection; capsule bytes","uploaded Drive file / downloaded latest capsule; ServiceError(400) if Drive not connected","Option 2 of Workspace Memory: Google Drive auto-sync reusing the already-authenticated per-user Composio connection rather than a new OAuth flow","LIVE - imported by app\api\workspace-memory\drive-export\route.ts and drive-import\route.ts","None (Composio + Google Drive API, no LLM)","POST /api/workspace-memory/drive-export and /drive-import, from components\WorkspaceMemorySection.tsx"
"api/ai","C:\ct\ct\src\app\api\ai\team\dispatch\route.ts","POST, GET, PATCH","POST body: Partial<TightTask> {objective, scope, successCriteria, complexityTier, expectedOutput, constraints, knownContext} + touchesProduct/Account/User, role, responseVocabulary, softwareTeamLevel, taskId, expectedSteps, capabilityCategory, filesCreated/Modified, testsPassed/Failed. PATCH body: {roleKey, model, rollout}","dispatch result + guardrail verdicts + confidence band + risk classification; GET returns {roster}; PATCH returns {status set|cleared|rollout_cleared}","The central AI Dev Team dispatch endpoint: classify task -> resolve role + model (Mother Router + roster overrides + tier eligibility) -> guardrails -> run role -> QA pre-completion gate -> confidence banding -> activity log + task register. veridian_admin only","LIVE - Next.js route; the single largest consumer of ai-team, ai-router and guardrail libs (25+ lib imports)","OpenRouter via team-service.ts runRole(); model resolved by mother-router.ts + roster-overrides.ts over roster.ts slugs","components\AiTeamRosterSection.tsx (POST + PATCH via /api/ai/team/roster/overrides)"
"api/ai","C:\ct\ct\src\app\api\ai\orchestrate\route.ts","POST","{eventType: document.uploaded|item.overdue|notice.received|deadline.approaching, entityId, payload}","OrchestratorResponse {eventType, entityId, timestamp, context, actions[] with priority low|medium|high|critical}","Event-driven orchestration: loads the entity from compliance_items/notices under tenant context, resolves the event's prompt-OS template, calls a cached LLM, enforces policy, and records an orchestra execution","LIVE - Next.js route","OpenRouter via callLLMJsonCached (lib\llm-response-cache.ts); model from mother-router.ts resolveModel(); prompts from prompt_templates keys orchestrate.document_uploaded / item_overdue / notice_received / deadline_approaching","No in-repo UI caller found - event-driven/external entrypoint"
"api/ai","C:\ct\ct\src\app\api\ai\finops\route.ts","GET","query params for org + period","FinOps dashboard + spend forecast","AI cost FinOps dashboard read","LIVE - Next.js route","None (reads cost ledger)","app\(app)\finops\page.tsx"
"api/ai","C:\ct\ct\src\app\api\ai\team\token-usage\route.ts","GET","?sinceDays","token usage summary per tenant/model","Per-tenant AI token spend query","LIVE - Next.js route","None","app\(app)\ai-cost-governance\page.tsx"
"api/ai","C:\ct\ct\src\app\api\ai\team\capability-improvements\route.ts","GET","?status (ProposalStatus) query","improvement proposals + resolved capability","Lists AI capability improvement proposals from capability-audit-service","LIVE - Next.js route","None","app\(app)\capability-improvements\page.tsx"
"api/ai","C:\ct\ct\src\app\api\ai\team\capability-improvements\[id]\route.ts","POST","path id + action (close | reject)","closed or rejected proposal","Closes the improvement loop or rejects a proposal","LIVE - Next.js route","None","app\(app)\capability-improvements\page.tsx"
