"Area","Step_Or_Surface","File_Path","Trigger","Behaviour","Failure_Mode","Gap_Or_Risk"
"B - Unauth surface","Public page 11: /shared/mom/[token]","C:\ct\projexa\src\app\shared\mom\[token]\page.tsx","Recipient of a WhatsApp meeting-minutes link","Plain unauthenticated fetch to `${VERIDIAN_ORIGIN}/api/veri-meetings/share/${token}`, wrapped in try/catch. Renders title, type, status, scheduledAt, projectName, attendees, agenda, minutes, aiSummary, aiKeyDecisions, actionItems and expiresAt. Dates pinned to en-GB / UTC.","Any failure -> null -> renders an explicit 'expired' sentence rather than Next's notFound(), because 'expired is a thing the reader can act on and a bare 404 is not'.","Note the path: '/shared/' does NOT match the '/share/' prefix, so page-access.ts needs its own separate entry 'or the page fails closed and redirects the recipient of a WhatsApp link to a login screen'. Exposes full meeting minutes, AI summaries and decisions to any URL holder."
"B - Unauth surface","Invite lifecycle 1: CREATE - POST /api/org/invites","C:\ct\projexa\src\app\api\org\invites\route.ts","Org owner/admin invites a colleague","requireAuth() + requireRole(ORG_ADMIN). Validates email (regex) and role against ALL_ORG_ROLES with field-naming messages (UAT C04). Rejects an existing member (409). Token = two crypto.randomUUID()s concatenated, dashes stripped (64 hex chars). expires_at = now + 14 days.","Missing email -> 400 'Email is required to send an invitation.' Bad email -> 400 naming the value. Bad role -> 400 listing valid roles. Duplicate live invite -> Postgres 23505 -> 409 'There is already a pending invitation for X. Revoke it first.'","NO EMAIL IS EVER SENT. grep for resend/sendMail/nodemailer/inviteUserByEmail/sendEmail/mailto across src/app/api/org/ returns nothing. The migration states why: 'this repo has no service-role Supabase client ... auth.admin.inviteUserByEmail() is not reachable without introducing a new privileged credential.'"
"B - Unauth surface","Invite lifecycle 1a: LINK DELIVERY is manual","C:\ct\projexa\src\components\OrgInvitesCard.tsx","Admin creates an invite in Settings","inviteUrl(token) = `${window.location.origin}/invite/${token}`. On create it attempts navigator.clipboard.writeText() and toasts 'link copied to your clipboard'; a 'Copy link' button repeats this per row.","Clipboard blocked -> toast 'Your browser blocked clipboard access -- copy the link from the address bar instead' (which is wrong advice - the invite URL is not in the address bar).","Onboarding a colleague requires the admin to manually paste a 64-char bearer-ish URL into some out-of-band channel. There is no resend, no delivery confirmation, and no record that the link ever reached the invitee."
"B - Unauth surface","Invite lifecycle 2: LIST - GET /api/org/invites","C:\ct\projexa\src\app\api\org\invites\route.ts","Admin opens the invites card","requireAuth + requireRole(ORG_ADMIN). Selects id, email, role, token, created_at, expires_at, accepted_at, revoked_at for ctx.organizationId, ordered created_at desc.","Supabase error -> 500 with error.message.","This endpoint returns the raw TOKEN for every pending invite to any org admin. Necessary for the Copy-link UI, but it means the invite token is a shared secret across the whole admin group, and it lands in browser memory and any HTTP log that captures response bodies."
"B - Unauth surface","Invite lifecycle 3: PREVIEW - GET /api/org/invites/preview","C:\ct\projexa\src\app\api\org\invites\preview\route.ts","Invite page loads, possibly unauthenticated","No auth guard at all. Calls supabase.rpc('org_invite_preview',{p_token}). Returns only {organization_name, role, expires_at, is_open}.","No token -> 400 'An invitation token is required.' No row -> 404 'This invitation link is not valid.' RPC error -> 500.","The SQL function is granted to `authenticated, anon`. Anyone who guesses or replays a token learns the organisation's NAME and the offered ROLE without signing in. Mitigated only by the 256-bit token."
"B - Unauth surface","Invite lifecycle 4: ACCEPT - POST /api/org/invites/accept","C:\ct\projexa\src\app\api\org\invites\accept\route.ts","Signed-in invitee clicks Join","Deliberately NOT behind requireAuth(), because requireAuth() answers 400 'No organization' for exactly this user. Verifies the session itself via getClaimsWithRetry(), then delegates every authorisation decision to supabase.rpc('accept_org_invite',{p_token}).","No session -> 401 'You must be signed in to accept an invitation.' No token -> 400. RPC error code P0002 -> 404, everything else -> 400, with the function's own message surfaced verbatim (UAT C19 ERROR_TRUTHFUL).","Returns {organizationId} but the client ignores it and hard-navigates to /dashboard."
"B - Unauth surface","Invite lifecycle 4a: accept_org_invite() SQL - the real boundary","C:\ct\projexa\drizzle\0015_org_invites.sql","RPC invoked by the accept route","SECURITY DEFINER, search_path=public, granted to `authenticated` only. Checks in order: auth.uid() not null (28000); token found (P0002); not revoked; not accepted; not expired; and lower(profiles.email) = lower(invite.email). Then INSERTs the membership ON CONFLICT DO NOTHING, stamps accepted_at/accepted_by, and writes a security_audit_log row 'org_invite.accepted'.","Each branch RAISEs a distinct human-readable message: 'This invitation has been revoked.' / 'has already been used.' / 'has expired. Ask an administrator for a new one.' / 'was issued to a different email address.'","SECURITY_DEFINER is required because the invitee is by definition not a member and no RLS policy could let them read the invite or insert their own membership. The email binding means 'a leaked link therefore grants nothing to a third party; it is a convenience for delivery, not a bearer credential'."
"B - Unauth surface","Invite lifecycle 5: REVOKE - DELETE /api/org/invites/[id]","C:\ct\projexa\src\app\api\org\invites\[id]\route.ts","Admin withdraws a pending invitation","requireAuth + requireRole(ORG_ADMIN). SOFT revoke: UPDATE org_invites SET revoked_at=now() WHERE id=$1 AND organization_id=ctx.organizationId AND accepted_at IS NULL AND revoked_at IS NULL.","No matching row -> 404 'That invitation no longer exists, or has already been used or revoked.' Supabase error -> 500.","Deliberately a flag not a DELETE (UAT C11, SAP LOEKZ convention) so the audit question 'who invited whom, and that it was withdrawn' survives. An ALREADY-ACCEPTED invite cannot be revoked here - removing a member is a different, unlocated surface."
"B - Unauth surface","Invite schema: table + constraints","C:\ct\projexa\drizzle\0015_org_invites.sql","Migration 0015","public.org_invites: id uuid PK, organization_id -> organizations ON DELETE CASCADE, email text, role text default 'member', token text UNIQUE, invited_by -> profiles ON DELETE SET NULL, created_at, expires_at default now()+14 days, accepted_at, accepted_by, revoked_at. CHECK role IN (owner, admin, pm, site_engineer, member, client_viewer). Index on (organization_id, created_at desc).","23505 on the partial unique index org_invites_one_pending_per_email (organization_id, lower(email)) WHERE accepted_at IS NULL AND revoked_at IS NULL.","At most ONE live invite per (org,email) 'so a revoked invite can never be resurrected by issuing a second link'. Note an invite can grant role 'owner' - an admin can therefore escalate someone above themselves via invite."
"B - Unauth surface","Invite schema: RLS policies","C:\ct\projexa\drizzle\0015_org_invites.sql","Any session-level access to org_invites","RLS enabled. Three policies (select / insert / update) all requiring an EXISTS on memberships where user_id=auth.uid() AND role IN ('owner','admin'). No DELETE policy.","N/A","Defence in depth alongside requireRole. In-file: 'UAT criterion C17 is explicit that a client-only guard is a FAIL -- the Settings UI''s admin check is a UX affordance only; these two layers are the actual boundary.'"
"B - Unauth surface","Why invites exist at all (the pre-2026-08-25 state)","C:\ct\projexa\drizzle\0015_org_invites.sql","R48_NO_INVITE_UI_01, found 2026-08-25","In-file: 'PROJEXA had NO user-provisioning surface of any kind. SettingsClient.tsx was 143 lines with exactly one button (Sign Out); there is no src/app/api/users route in this app at all. The only way a second person ever joined an org was /api/org/provision, which creates a BRAND NEW org for whoever calls it.'","N/A","Historical context a new engineer needs: multi-user orgs are a very recent capability. Ruled at L5 on SAP/Dynamics 365/Odoo precedent."
"B - Unauth surface","Marketing component: LandingPage.tsx (composition root)","C:\ct\projexa\src\components\marketing\LandingPage.tsx","Rendered by both / (en) and /hi (hi)","Composes MarketingHeader, Hero, ProblemSection, SolutionSection, ModuleCatalogSection, CopilotSpotlight, ValueSection, ROISection, SelfCoordinationSection, FinalCTA (sourcePage='home'), MarketingFooter. Sets lang={locale} on the wrapper div.","N/A","Locale is threaded EXPLICITLY as a prop, never resolved from the request - ambient resolution cannot work under force-static. Subtree lang is used because the root layout's single <html lang> cannot vary per prerendered route."
"B - Unauth surface","Marketing component: MarketingHeader.tsx","C:\ct\projexa\src\components\marketing\MarketingHeader.tsx","Top of every marketing page","'use client'. useTranslations('Marketing.header'). Logo links to /. Nav links via linkHref(link). One auth CTA: <Link href=""/login"">.","N/A","The site header offers LOGIN ONLY. There is no 'Sign up' or 'Get started' button in the header of either landing page."
"B - Unauth surface","Marketing component: Hero.tsx","C:\ct\projexa\src\components\marketing\Hero.tsx","Above the fold on / and /hi","164 lines, async server component, getTranslations namespace 'Marketing.hero'. Primary CTA (saffron fill, navy text) -> href=""#contact"". Secondary CTA -> /how-it-works. Also an anchor to #pays-for-itself. Renders a dashboard preview mockup.","N/A","The primary above-the-fold CTA is a contact form, NOT signup. R67 WS-G/C-13 note: navy-on-saffron chosen for 5.55:1 contrast rather than changing the brand fill."
"B - Unauth surface","Marketing component: FinalCTA.tsx","C:\ct\projexa\src\components\marketing\FinalCTA.tsx","Bottom of / and /how-it-works","Renders <ContactForm sourcePage={sourcePage}/> plus one outline button -> <Link href=""/login"">.","N/A","The closing conversion moment offers contact-us or login. It does NOT offer signup."
"B - Unauth surface","Marketing component: MarketingFooter.tsx","C:\ct\projexa\src\components\marketing\MarketingFooter.tsx","Foot of every marketing page","25 lines. getTranslations 'Marketing.footer'. Links to /login and to /signup.","N/A","CONFIRMED: grep for 'signup' across src/components/marketing returns EXACTLY ONE hit - this file, line 19. The only self-serve route into the product from the entire marketing surface is a footer link."
"B - Unauth surface","Marketing component: ContactForm.tsx","C:\ct\projexa\src\components\marketing\ContactForm.tsx","Visitor submits 'Talk to an Engineer'","'use client'. Requires name and email (trimmed); company and message optional. POSTs /api/contact -> src/lib/services/contact-service.ts -> contact_requests table (drizzle/0010). Success swaps the form for a confirmation panel; errors toast via sonner.","!res.ok || !data.ok -> throws -> toast.error with the server message or t('errorGeneric').","In-file: 'no email/Resend infra exists here to send a confirmation, so this deliberately doesn''t claim to send one.' A submitted lead lands in a DB table that nothing notifies anyone about. Since Hero and FinalCTA both point HERE rather than at /signup, the main funnel terminates in an unmonitored table."
"B - Unauth surface","Marketing component: ProblemSection.tsx","C:\ct\projexa\src\components\marketing\ProblemSection.tsx","Landing page section 2","45 lines, async server component, getTranslations namespace 'Marketing.problem'.","N/A","Copy-only; no CTA."
"B - Unauth surface","Marketing component: SolutionSection.tsx","C:\ct\projexa\src\components\marketing\SolutionSection.tsx","Landing page section 3","69 lines, async server component, namespace 'Marketing.solution'.","N/A","Copy-only; no CTA."
"B - Unauth surface","Marketing component: ModuleCatalogSection.tsx","C:\ct\projexa\src\components\marketing\ModuleCatalogSection.tsx","Landing page section 4","145 lines, async server component. Uses TWO namespaces: 'Marketing.moduleCatalog' and 'Marketing.system'.","N/A","Largest marketing component. Module claims are static translation strings, not derived from the live module registry - they can drift from what an org is actually entitled to."
"B - Unauth surface","Marketing component: CopilotSpotlight.tsx","C:\ct\projexa\src\components\marketing\CopilotSpotlight.tsx","Landing page section 5","80 lines, async server component, namespace 'Marketing.copilot'.","N/A","Copy-only; no CTA."
"B - Unauth surface","Marketing component: ValueSection.tsx","C:\ct\projexa\src\components\marketing\ValueSection.tsx","Landing page section 6","33 lines, async server component, namespace 'Marketing.value'.","N/A","Copy-only; no CTA."
"B - Unauth surface","Marketing component: ROISection.tsx","C:\ct\projexa\src\components\marketing\ROISection.tsx","Landing page section 7 (anchor target #pays-for-itself)","56 lines, async server component, namespace 'Marketing.roi'.","N/A","ROI figures are translation strings, not computed. UNKNOWN what evidence backs them."
"B - Unauth surface","Marketing component: SelfCoordinationSection.tsx","C:\ct\projexa\src\components\marketing\SelfCoordinationSection.tsx","Landing page section 8","57 lines, async server component, namespace 'Marketing.selfCoordination'.","N/A","Copy-only; no CTA."
"B - Unauth surface","Marketing component: Reveal.tsx","C:\ct\projexa\src\components\marketing\Reveal.tsx","Wraps marketing sections for scroll animation","100 lines, 'use client'. Takes a delay prop (e.g. delay={100} in FinalCTA).","UNKNOWN whether it degrades gracefully with JS disabled or prefers-reduced-motion.","If the reveal never fires, wrapped content may stay invisible - would silently hide the ContactForm in FinalCTA, which is inside a Reveal."
"B - Unauth surface","Marketing component: Reveal.test.tsx","C:\ct\projexa\src\components\marketing\Reveal.test.tsx","Test run","Unit test for Reveal.tsx.","N/A","One of only two test files in the marketing tree; the 14 copy/section components have no tests."
"B - Unauth surface","Marketing component: MarketingLocaleProvider.tsx","C:\ct\projexa\src\components\marketing\MarketingLocaleProvider.tsx","Wraps the Hindi documents only (/hi and /hi/how-it-works)","36 lines, async server component. Supplies the locale to client children that cannot resolve it ambiently under force-static.","N/A","Only the Hindi routes use it; the English routes render LandingPage/HowItWorksContent directly. Asymmetry a new engineer must notice when adding a third locale."
"B - Unauth surface","Marketing component: marketing-locale.ts","C:\ct\projexa\src\components\marketing\marketing-locale.ts","Imported by every marketing section","25 lines. Defines the MarketingLocaleProps type that threads `locale` explicitly through the tree.","N/A","This type is the mechanism enforcing 'no ambient locale resolution'. Adding a section that calls useTranslations() without the prop reintroduces the dynamic-rendering regression R-246 fixed."
"B - Unauth surface","Marketing component: marketing-locale.test.ts","C:\ct\projexa\src\components\marketing\marketing-locale.test.ts","Test run","Unit test for marketing-locale.ts.","N/A","None found."
"B - Unauth surface","Marketing component: how-it-works/HowItWorksContent.tsx","C:\ct\projexa\src\components\marketing\how-it-works\HowItWorksContent.tsx","Rendered by /how-it-works and /hi/how-it-works","Composition root for the how-it-works page: MarketingHeader, HowItWorksHero, ArchitectureDiagram, ChangeOrderTrace, (FactsRow), FinalCTA, MarketingFooter.","N/A","None found."
"B - Unauth surface","Marketing component: how-it-works/HowItWorksHero.tsx","C:\ct\projexa\src\components\marketing\how-it-works\HowItWorksHero.tsx","Top of /how-it-works","async server component, getTranslations namespace 'Marketing.howItWorks.hero'. Renders a bg-px-ink section.","N/A","None found."
"B - Unauth surface","Marketing component: how-it-works/ArchitectureDiagram.tsx","C:\ct\projexa\src\components\marketing\how-it-works\ArchitectureDiagram.tsx","How-it-works page section","async server component using lucide-react icons, getTranslations, and Reveal.","N/A","The publicly published architecture claim is a hand-maintained diagram; it can drift from the real VERIDIAN/PROJEXA topology without any test catching it."
"B - Unauth surface","Marketing component: how-it-works/ChangeOrderTrace.tsx","C:\ct\projexa\src\components\marketing\how-it-works\ChangeOrderTrace.tsx","How-it-works page section","STEP_KEYS = ['step1'..'step5']. In-file: 'The real traced example: verified against src/app/api/change-orders/[id]/signature-status/route.ts'.","N/A","The verification is a comment, not a test. If that route changes, the public five-step claim silently becomes false."
"B - Unauth surface","Marketing component: how-it-works/FactsRow.tsx","C:\ct\projexa\src\components\marketing\how-it-works\FactsRow.tsx","How-it-works page section","FACT_KEYS = ['fact1','fact2','fact3']; async server component, namespace 'Marketing.howItWorks.facts'.","N/A","Three public factual claims sourced from translation files with no provenance link."
"C - Password reset GAP","STATED GAP: PROJEXA has no password reset of any kind","C:\ct\projexa\src (whole tree)","Verified by command, not inference","Ran `grep -rn ""resetPasswordForEmail|forgot-password|reset-password"" src/` inside C:\ct\projexa. Result: ZERO matching lines (exit 0, no output). A widened grep across .ts/.tsx/.sql/.md excluding node_modules/.next also returned nothing.","N/A - the capability does not exist.","CONFIRMED OPERATIONAL GAP. PROJEXA has no forgot-password page, no reset-password page, no reset API route, and no call to supabase.auth.resetPasswordForEmail() anywhere."
"C - Password reset GAP","The login page offers no recovery affordance","C:\ct\projexa\src\app\login\page.tsx","Customer forgets their password","The form is email + password + submit, plus a single 'no account? /signup' link. signInWithPassword is the ONLY auth method. No magic link, no OTP, no SSO, no 'forgot password'.","loginError is rendered verbatim (typically 'Invalid login credentials') with no next step offered.","A locked-out customer is shown an error and given nowhere to go. This is the terminal state of the gap."
"C - Password reset GAP","CORRECTION to the wave-2 premise: the backend does NOT have a reset flow either","C:\ct\ct\src\app\forgot-password\page.tsx","Visitor hits /forgot-password on the VERIDIAN backend app","The ENTIRE file is 19 lines and its body is `redirect(""/login?reason=forgot-password"")`. Its own comment states: 'the login form offers no password-reset entry point (this app has no password-reset flow at all -- only Google/magic-link/passcode/SSO, see login-form.tsx)'.","N/A","The task brief said 'the backend has one'. It does not. Verified: `grep -rn ""resetPasswordForEmail"" src/` in C:\ct\ct returns ZERO lines. This page is the redirect option from audit point P8-CB-10 / P1-OBS-003, chosen explicitly so that 'no new password-reset mechanism [was] invented'."
"C - Password reset GAP","Why the backend redirect is nonetheless survivable there, and not in PROJEXA","C:\ct\ct\src\app\login\login-form.tsx","Backend user arrives at /login?reason=forgot-password","login-form.tsx line 35 reads searchParams.get('reason')==='forgot-password' and surfaces an inline prompt pointing at the existing 'Send magic link instead' option.","N/A","The backend has alternative authentication factors (Google, magic link, passcode, SSO) that make password recovery unnecessary. PROJEXA has NONE of them - password is its only factor - so the same 'we deliberately built no reset' posture leaves PROJEXA customers with zero recovery, not an alternative route."
"C - Password reset GAP","The only related artifact: rotate-demo-password-r38 edge function","C:\ct\projexa\supabase\functions\rotate-demo-password-r38\index.ts","Operator manually invokes the deployed Supabase Edge Function with ?secret=&userId=","Deno.serve handler. Generates 24 random bytes -> password 'R38-<48 hex chars>' entirely inside the function, calls admin.auth.admin.updateUserById(userId,{password:newPassword}) with the injected SUPABASE_SERVICE_ROLE_KEY, then inserts a security_audit_log row {event:'demo_password_rotated', target_user_id, target_email, actor:'rotate-demo-password-r38', metadata:{trigger:'manual_invoke'}}.","secret mismatch -> 401 {error:'unauthorized'}. Missing userId -> 400. updateUserById error -> 500 {error, step:'updateUserById'}. Audit insert failure -> returns auditLogged:false but does NOT unwind the rotation.","NOT A RECOVERY PATH. It is R38 Q1 demo-credential hygiene: the new password 'never leaves this function' and is 'never returned, never logged' - so the user whose password was just rotated has no way to learn it. It cannot restore access to anyone."
"C - Password reset GAP","Security risk in the only password-adjacent tool","C:\ct\projexa\supabase\functions\rotate-demo-password-r38\index.ts","Anyone who can reach the deployed function URL","Authentication is a single hardcoded query-string literal: `if (secret !== ""r38-rotate-2026"")`. The secret is committed to the repo in plaintext and travels in the URL.","No rate limit, no allowlist, no expiry on the secret, no rotation of the secret itself.","HIGH: a shared static secret in git and in a URL (therefore in access logs, proxy logs and Referer headers) gates a service-role function that can overwrite ANY user's password by userId. It can be used to lock a real user out, not to let one in."
"C - Password reset GAP","Compound failure: locked-out owner cannot repair a broken workspace","C:\ct\projexa\src\app\api\org\repair\route.ts","Sole owner of a half-provisioned org forgets their password","POST /api/org/repair requires requireAuth() AND requireRole(ctx, ROLE_GROUPS.ORG_ADMIN) - so a signed-in owner or admin is mandatory.","No session -> ctx.response (401). Wrong role -> 403.","Two gaps intersect: the only fix for a half-provisioned org needs an authenticated admin, and there is no way for a locked-out admin to become authenticated. A single-owner org can therefore become permanently unrecoverable without service-role DB access."
"C - Password reset GAP","Documented recovery path today","UNKNOWN","Customer contacts support after losing password access","No documented runbook, support route, or admin tool for customer password recovery was found anywhere in C:\ct\projexa. The user-facing error strings say 'Please contact support.' but no support address, ticket route, or escalation path was located in the codebase.","N/A","STATED OPERATIONAL GAP, as instructed: a locked-out PROJEXA customer has NO documented recovery path. The only mechanisms that exist are (a) a direct Supabase dashboard/service-role intervention by an operator, and (b) the rotate-demo-password-r38 function, which never reveals the password it sets and therefore cannot restore access."
